drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.8980754039574554,0.051258087158203125,0.822,1
0.0,0.0,0.5857449756810867,0.061536312103271484,0.822,1
0.0,0.0,0.234121935419498,0.07302665710449219,0.779,1
0.0,0.0,0.46150251990015145,0.050612688064575195,0.787,1
0.0,0.0,0.11465920652522288,0.05035042762756348,0.752,1
0.0,0.0,0.8581458552436767,0.050063133239746094,0.83,1
0.0,0.0,0.5094240292785132,0.053847551345825195,0.779,1
0.0,0.0,0.7976617306440112,0.06208968162536621,0.826,1
0.0,0.0,0.8951972970465313,0.05418658256530762,0.856,1
0.0,0.0,0.5308900611518723,0.0626983642578125,0.797,1
0.0,0.0,0.16329261081430746,0.06381750106811523,0.797,1
0.0,0.0,0.6865829006178129,0.06255364418029785,0.809,1
0.0,0.0,0.4315542588407443,0.0729680061340332,0.809,1
0.0,0.0,0.20897267978899403,0.06309962272644043,0.762,1
0.0,0.0,0.771769100355884,0.06362366676330566,0.834,1
0.0,0.0,0.360488600105654,0.05249786376953125,0.797,1
0.0,0.0,0.310172081462881,0.06244611740112305,0.773,1
0.0,0.0,0.13561618357321648,0.060994863510131836,0.792,1
0.0,0.0,0.5890724399704378,0.07799744606018066,0.797,1
0.0,0.0,0.5447041973677439,0.05150580406188965,0.794,1
0.0,0.0,0.4206141190020263,0.05059099197387695,0.794,1
0.0,0.0,0.20071868545878835,0.07388615608215332,0.789,1
0.0,0.0,0.17330143050456448,0.06466984748840332,0.767,1
0.0,0.0,0.5212630856686398,0.08611083030700684,0.797,1
0.0,0.0,0.5666301186080115,0.07509422302246094,0.801,1
0.0,0.0,0.735299909563117,0.0757761001586914,0.818,1
0.0,0.0,0.31076462306601393,0.06264686584472656,0.787,1
0.0,0.0,0.1535750501234563,0.06531190872192383,0.786,1
0.0,0.0,0.2702584558185893,0.061399221420288086,0.779,1
0.0,0.0,0.6782884680427499,0.05090475082397461,0.8,1
0.0,0.0,0.2057460839181301,0.05316305160522461,0.774,1
0.0,0.0,0.3829409477663709,0.06192159652709961,0.793,1
0.0,0.0,0.12176919510757,0.06528973579406738,0.736,1
0.0,0.0,0.4299082030983319,0.05711770057678223,0.786,1
0.0,0.0,0.6959044047428872,0.05002260208129883,0.847,1
0.0,0.0,0.44630257588226996,0.06196784973144531,0.81,1
0.0,0.0,0.38450417757844446,0.05254316329956055,0.813,1
0.0,0.0,0.306051453933908,0.062224626541137695,0.774,1
0.0,0.0,0.7863811747822412,0.06464314460754395,0.829,1
0.0,0.0,0.3499449793600722,0.06569290161132812,0.787,1
0.0,0.0,0.8664205137835627,0.06326985359191895,0.834,1
0.0,0.0,0.4360530651371223,0.07392215728759766,0.819,1
0.0,0.0,0.41759353823932877,0.06426477432250977,0.781,1
0.0,0.0,0.3806792377132846,0.062264204025268555,0.788,1
0.0,0.0,0.46665765563049544,0.06264019012451172,0.792,1
0.0,0.0,0.26378488727363414,0.0626518726348877,0.766,1
0.0,0.0,0.2570640499016069,0.06078910827636719,0.778,1
0.0,0.0,0.19528217874337983,0.06359195709228516,0.763,1
0.0,0.0,0.8862129289236793,0.06494927406311035,0.847,1
0.0,0.0,0.6118479054590342,0.0502161979675293,0.791,1
0.0,0.0,0.7046654130965984,0.05135083198547363,0.827,1
0.0,0.0,0.8573052364916806,0.06211042404174805,0.834,1
0.0,0.0,0.8634269974627181,0.06399393081665039,0.836,1
0.0,0.0,0.4133034561958845,0.07253527641296387,0.802,1
0.0,0.0,0.32417099997435295,0.07775306701660156,0.789,1
0.0,0.0,0.2566708651489751,0.06634831428527832,0.77,1
0.0,0.0,0.40620623141127343,0.06435728073120117,0.79,1
0.0,0.0,0.20432106996515353,0.06295943260192871,0.803,1
0.0,0.0,0.5038847536406669,0.06362724304199219,0.81,1
