drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.487,0.06335926055908203,0.809,1
0.0,0.0,0.492,0.0626220703125,0.83,1
0.0,0.0,0.489,0.06416440010070801,0.799,1
0.0,0.0,0.499,0.07794904708862305,0.8,1
0.0,0.0,0.491,0.11221599578857422,0.788,1
0.0,0.0,0.48,0.063934326171875,0.808,1
0.0,0.0,0.503,0.0630040168762207,0.818,1
0.0,0.0,0.502,0.07471370697021484,0.797,1
0.0,0.0,0.491,0.07227540016174316,0.79,1
0.0,0.0,0.466,0.0757589340209961,0.789,1
0.0,0.0,0.499,0.06926846504211426,0.806,1
0.0,0.0,0.506,0.07555270195007324,0.799,1
0.0,0.0,0.48,0.07440304756164551,0.801,1
0.0,0.0,0.493,0.06502819061279297,0.795,1
0.0,0.0,0.498,0.06273746490478516,0.792,1
0.0,0.0,0.492,0.061017513275146484,0.784,1
0.0,0.0,0.489,0.05447840690612793,0.77,1
0.0,0.0,0.509,0.06416058540344238,0.804,1
0.0,0.0,0.511,0.06211256980895996,0.802,1
0.0,0.0,0.513,0.0635685920715332,0.789,1
0.0,0.0,0.501,0.06426119804382324,0.772,1
0.0,0.0,0.508,0.06194734573364258,0.787,1
0.0,0.0,0.492,0.06715774536132812,0.803,1
0.0,0.0,0.498,0.07424139976501465,0.81,1
0.0,0.0,0.522,0.0760648250579834,0.781,1
0.0,0.0,0.489,0.07445597648620605,0.786,1
0.0,0.0,0.502,0.06806826591491699,0.776,1
0.0,0.0,0.502,0.07631444931030273,0.801,1
0.0,0.0,0.478,0.07535839080810547,0.8,1
0.0,0.0,0.518,0.07199549674987793,0.799,1
0.0,0.0,0.538,0.05286264419555664,0.81,1
0.0,0.0,0.513,0.0631413459777832,0.813,1
0.0,0.0,0.525,0.06245255470275879,0.815,1
0.0,0.0,0.534,0.06276392936706543,0.783,1
0.0,0.0,0.514,0.06192898750305176,0.799,1
0.0,0.0,0.508,0.06299853324890137,0.784,1
0.0,0.0,0.489,0.06178450584411621,0.799,1
0.0,0.0,0.486,0.0637209415435791,0.817,1
0.0,0.0,0.483,0.07502126693725586,0.789,1
0.0,0.0,0.511,0.0743105411529541,0.815,1
0.0,0.0,0.489,0.07433485984802246,0.779,1
0.0,0.0,0.487,0.06559967994689941,0.788,1
0.0,0.0,0.511,0.0628666877746582,0.795,1
0.0,0.0,0.517,0.06374144554138184,0.784,1
0.0,0.0,0.495,0.06176495552062988,0.8,1
0.0,0.0,0.517,0.06197786331176758,0.8,1
0.0,0.0,0.49,0.06129598617553711,0.783,1
0.0,0.0,0.481,0.0752413272857666,0.809,1
0.0,0.0,0.513,0.06245088577270508,0.796,1
0.0,0.0,0.479,0.061612606048583984,0.797,1
0.0,0.0,0.512,0.0635077953338623,0.787,1
0.0,0.0,0.498,0.06281089782714844,0.796,1
0.0,0.0,0.516,0.06350278854370117,0.801,1
0.0,0.0,0.488,0.061200618743896484,0.813,1
