drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.473,0.06243181228637695,0.789,1
0.0,0.0,0.479,0.06214141845703125,0.795,1
1.0,1.0,0.525,0.44866943359375,0.805,1
0.0,0.0,0.511,0.06083321571350098,0.882,1
0.0,0.0,0.495,0.058759212493896484,0.875,1
0.0,0.0,0.504,0.058884382247924805,0.867,1
0.0,0.0,0.48,0.061068058013916016,0.883,1
0.0,0.0,0.493,0.07340025901794434,0.886,1
1.0,1.0,0.52,0.45659589767456055,0.88,1
0.0,0.0,0.49,0.07554912567138672,0.87,1
0.0,0.0,0.504,0.07227444648742676,0.876,1
0.0,0.0,0.506,0.06575202941894531,0.88,1
0.0,0.0,0.517,0.07051658630371094,0.884,1
0.0,0.0,0.492,0.0722041130065918,0.877,1
0.0,0.0,0.474,0.07224535942077637,0.881,1
0.0,0.0,0.499,0.07007336616516113,0.89,1
1.0,1.0,0.504,0.4455373287200928,0.882,1
0.0,0.0,0.475,0.06160402297973633,0.889,1
0.0,0.0,0.551,0.06025075912475586,0.891,1
0.0,0.0,0.532,0.06959080696105957,0.901,1
0.0,0.0,0.508,0.0718379020690918,0.89,1
0.0,0.0,0.508,0.07311630249023438,0.876,1
0.0,0.0,0.501,0.06104683876037598,0.883,1
0.0,0.0,0.556,0.05954432487487793,0.899,1
0.0,0.0,0.506,0.07086753845214844,0.882,1
0.0,0.0,0.474,0.07347464561462402,0.879,1
0.0,0.0,0.492,0.05959343910217285,0.875,1
0.0,0.0,0.502,0.059413909912109375,0.87,1
0.0,0.0,0.515,0.07208991050720215,0.892,1
0.0,0.0,0.515,0.060913801193237305,0.882,1
0.0,0.0,0.475,0.07200479507446289,0.887,1
0.0,0.0,0.461,0.09399271011352539,0.881,1
0.0,0.0,0.52,0.07239627838134766,0.881,1
0.0,0.0,0.503,0.07353425025939941,0.871,1
0.0,0.0,0.481,0.0721120834350586,0.868,1
0.0,0.0,0.499,0.07154250144958496,0.877,1
0.0,0.0,0.508,0.07161831855773926,0.875,1
0.0,0.0,0.498,0.06279206275939941,0.862,1
0.0,0.0,0.509,0.06882929801940918,0.896,1
0.0,0.0,0.495,0.07031369209289551,0.868,1
0.0,0.0,0.487,0.0735321044921875,0.88,1
0.0,0.0,0.498,0.06553936004638672,0.873,1
0.0,0.0,0.473,0.06058382987976074,0.886,1
0.0,0.0,0.514,0.07203006744384766,0.877,1
0.0,0.0,0.503,0.07465505599975586,0.89,1
0.0,0.0,0.532,0.07448887825012207,0.872,1
0.0,0.0,0.485,0.07179498672485352,0.877,1
0.0,0.0,0.495,0.0724172592163086,0.871,1
