drifs_detected,false_alarms,class_distribution,time (s),classification,context
1.0,1.0,0.15599369063584367,0.9589214324951172,0.779,1
1.0,1.0,0.5794746424038614,0.7951235771179199,0.732,1
1.0,1.0,0.714557053761921,0.755638837814331,0.898,1
0.0,0.0,0.753772550169671,0.24094676971435547,0.924,1
1.0,1.0,0.4364899512615451,0.7227625846862793,0.837,1
1.0,1.0,0.6768719688900138,0.7580914497375488,0.894,1
1.0,1.0,0.13915250331961793,0.7676200866699219,0.802,1
1.0,1.0,0.4241307450082731,0.8449928760528564,0.799,1
1.0,1.0,0.6347116768424866,0.7948174476623535,0.886,1
0.0,0.0,0.6689854988542062,0.29415416717529297,0.896,1
0.0,0.0,0.6113791152275376,0.2905266284942627,0.888,1
1.0,1.0,0.48344645667726427,0.9247550964355469,0.866,1
0.0,0.0,0.5792655620085893,0.2976841926574707,0.879,1
1.0,1.0,0.8307138543102472,0.9160237312316895,0.91,1
1.0,1.0,0.14293847391436343,0.8944385051727295,0.681,1
1.0,1.0,0.8395946160281917,0.9546070098876953,0.551,1
1.0,1.0,0.5931507832901098,0.8974683284759521,0.861,1
1.0,1.0,0.8414133774576298,0.8954448699951172,0.93,1
1.0,1.0,0.232539708125029,1.039902687072754,0.731,1
1.0,1.0,0.6254860168044887,1.0070760250091553,0.776,1
1.0,1.0,0.8392440127350185,0.9862010478973389,0.939,1
1.0,1.0,0.6914197873427849,1.0819847583770752,0.896,1
1.0,1.0,0.1280468879944413,1.082082748413086,0.791,1
1.0,1.0,0.4231886416752868,0.9920454025268555,0.777,1
1.0,1.0,0.21991650870036494,0.9727296829223633,0.891,1
0.0,0.0,0.2907312453912164,0.2853574752807617,0.867,1
1.0,1.0,0.5054381420608313,0.9566245079040527,0.809,1
1.0,1.0,0.17772146116708354,1.0072216987609863,0.884,1
1.0,1.0,0.709456487237671,0.9635381698608398,0.664,1
1.0,1.0,0.48191937994464806,1.1529152393341064,0.871,1
1.0,1.0,0.22783567562911788,1.0227558612823486,0.886,1
1.0,1.0,0.3148183419974263,0.9587826728820801,0.873,1
1.0,1.0,0.7788012730597114,1.0998280048370361,0.842,1
1.0,1.0,0.6462296517176893,0.9671461582183838,0.879,1
1.0,1.0,0.21241870409123365,0.9779031276702881,0.832,1
0.0,0.0,0.2364386290300603,0.27181148529052734,0.885,1
0.0,0.0,0.12454966230035092,0.2922835350036621,0.913,1
0.0,0.0,0.3378517130754639,0.3467121124267578,0.846,1
0.0,0.0,0.1678952766523425,0.41950488090515137,0.906,1
0.0,0.0,0.2572222344213959,0.31678152084350586,0.891,1
1.0,1.0,0.8369289691644836,1.074512004852295,0.743,1
1.0,1.0,0.3581569200371014,1.0202760696411133,0.758,1
1.0,1.0,0.5962890879576933,0.9449858665466309,0.872,1
1.0,1.0,0.4657108294084271,1.0087673664093018,0.878,1
1.0,1.0,0.17200447098003102,0.9957094192504883,0.847,1
1.0,1.0,0.3535134041372445,0.953930139541626,0.823,1
