drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.468,0.3041725158691406,0.811,1
0.0,0.0,0.501,0.24918127059936523,0.798,1
0.0,0.0,0.485,0.2700924873352051,0.813,1
0.0,0.0,0.502,0.2542002201080322,0.793,1
0.0,0.0,0.48,0.2847127914428711,0.793,1
0.0,0.0,0.495,0.249833345413208,0.813,1
0.0,0.0,0.521,0.24030709266662598,0.796,1
0.0,0.0,0.508,0.23367929458618164,0.808,1
0.0,0.0,0.493,0.2592761516571045,0.8,1
0.0,0.0,0.512,0.3040306568145752,0.795,1
0.0,0.0,0.512,0.2289884090423584,0.817,1
0.0,0.0,0.501,0.22738933563232422,0.788,1
0.0,0.0,0.491,0.249053955078125,0.809,1
0.0,0.0,0.471,0.3050107955932617,0.797,1
0.0,0.0,0.505,0.23718810081481934,0.788,1
0.0,0.0,0.534,0.2455148696899414,0.816,1
0.0,0.0,0.497,0.21911096572875977,0.81,1
0.0,0.0,0.522,0.2602262496948242,0.824,1
0.0,0.0,0.517,0.23825955390930176,0.811,1
0.0,0.0,0.513,0.31569504737854004,0.789,1
0.0,0.0,0.507,0.22564363479614258,0.801,1
0.0,0.0,0.48,0.29723644256591797,0.777,1
0.0,0.0,0.521,0.24576449394226074,0.81,1
0.0,0.0,0.505,0.2508673667907715,0.807,1
0.0,0.0,0.512,0.3559248447418213,0.817,1
0.0,0.0,0.493,0.25205516815185547,0.806,1
0.0,0.0,0.535,0.23913264274597168,0.769,1
0.0,0.0,0.513,0.247236967086792,0.786,1
0.0,0.0,0.475,0.2626216411590576,0.801,1
0.0,0.0,0.473,0.2605609893798828,0.777,1
0.0,0.0,0.479,0.22920775413513184,0.799,1
0.0,0.0,0.506,0.2585752010345459,0.797,1
0.0,0.0,0.498,0.2953040599822998,0.819,1
0.0,0.0,0.499,0.27196669578552246,0.82,1
0.0,0.0,0.514,0.2548713684082031,0.815,1
0.0,0.0,0.482,0.2971327304840088,0.811,1
0.0,0.0,0.506,0.26276636123657227,0.799,1
0.0,0.0,0.485,0.25554656982421875,0.806,1
0.0,0.0,0.478,0.33702635765075684,0.798,1
0.0,0.0,0.506,0.2608613967895508,0.791,1
0.0,0.0,0.506,0.23675537109375,0.805,1
0.0,0.0,0.492,0.22711801528930664,0.805,1
0.0,0.0,0.507,0.25252842903137207,0.818,1
0.0,0.0,0.49,0.3203551769256592,0.792,1
0.0,0.0,0.526,0.26081275939941406,0.8,1
0.0,0.0,0.491,0.21895384788513184,0.814,1
0.0,0.0,0.519,0.2651946544647217,0.807,1
0.0,0.0,0.495,0.25693655014038086,0.816,1
0.0,0.0,0.478,0.2579231262207031,0.795,1
0.0,0.0,0.516,0.2867453098297119,0.802,1
0.0,0.0,0.494,0.26517772674560547,0.795,1
0.0,0.0,0.487,0.27180004119873047,0.789,1
0.0,0.0,0.503,0.21773338317871094,0.814,1
0.0,0.0,0.498,0.2512547969818115,0.826,1
0.0,0.0,0.497,0.29445695877075195,0.801,1
0.0,0.0,0.492,0.23487257957458496,0.781,1
0.0,0.0,0.48,0.2986440658569336,0.787,1
0.0,0.0,0.541,0.2858715057373047,0.833,1
0.0,0.0,0.467,0.23124027252197266,0.779,1
0.0,0.0,0.509,0.29215431213378906,0.771,1
0.0,0.0,0.51,0.2337493896484375,0.797,1
0.0,0.0,0.491,0.3024485111236572,0.804,1
0.0,0.0,0.501,0.28874945640563965,0.792,1
0.0,0.0,0.496,0.2795898914337158,0.796,1
0.0,0.0,0.494,0.3291056156158447,0.782,1
0.0,0.0,0.494,0.2945113182067871,0.799,1
0.0,0.0,0.498,0.32617783546447754,0.804,1
0.0,0.0,0.504,0.26660990715026855,0.824,1
0.0,0.0,0.498,0.34470248222351074,0.796,1
0.0,0.0,0.487,0.2710685729980469,0.806,1
0.0,0.0,0.513,0.3409440517425537,0.811,1
0.0,0.0,0.51,0.34380125999450684,0.804,1
0.0,0.0,0.493,0.3021881580352783,0.801,1
0.0,0.0,0.517,0.3165407180786133,0.812,1
0.0,0.0,0.491,0.2828354835510254,0.813,1
0.0,0.0,0.492,0.38242101669311523,0.786,1
0.0,0.0,0.495,0.27968811988830566,0.8,1
0.0,0.0,0.482,0.29059505462646484,0.775,1
0.0,0.0,0.5,0.2944819927215576,0.821,1
0.0,0.0,0.493,0.30070972442626953,0.798,1
0.0,0.0,0.498,0.365889310836792,0.831,1
0.0,0.0,0.522,0.41374778747558594,0.783,1
0.0,0.0,0.495,0.4443955421447754,0.794,1
0.0,0.0,0.505,0.38475704193115234,0.792,1
0.0,0.0,0.513,0.3600339889526367,0.806,1
0.0,0.0,0.51,0.3460254669189453,0.801,1
