drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.499,0.07676339149475098,0.781,1
0.0,0.0,0.535,0.053438663482666016,0.811,1
0.0,0.0,0.485,0.0634310245513916,0.802,1
0.0,0.0,0.52,0.06213665008544922,0.802,1
0.0,0.0,0.508,0.06171298027038574,0.804,1
0.0,0.0,0.499,0.07257652282714844,0.816,1
0.0,0.0,0.502,0.07655739784240723,0.788,1
0.0,0.0,0.495,0.0767674446105957,0.802,1
0.0,0.0,0.495,0.07273650169372559,0.795,1
0.0,0.0,0.466,0.0752420425415039,0.802,1
0.0,0.0,0.489,0.08570694923400879,0.806,1
0.0,0.0,0.469,0.0919806957244873,0.816,1
0.0,0.0,0.536,0.09428000450134277,0.806,1
0.0,0.0,0.48,0.09250950813293457,0.813,1
0.0,0.0,0.5,0.08566594123840332,0.801,1
0.0,0.0,0.488,0.06433510780334473,0.793,1
0.0,0.0,0.503,0.06744575500488281,0.818,1
0.0,0.0,0.546,0.0724935531616211,0.816,1
0.0,0.0,0.475,0.06241631507873535,0.789,1
0.0,0.0,0.489,0.06238889694213867,0.822,1
0.0,0.0,0.506,0.06303858757019043,0.817,1
0.0,0.0,0.485,0.06257200241088867,0.814,1
0.0,0.0,0.49,0.06334638595581055,0.793,1
0.0,0.0,0.507,0.06425952911376953,0.82,1
0.0,0.0,0.5,0.0745389461517334,0.81,1
0.0,0.0,0.521,0.07515931129455566,0.797,1
0.0,0.0,0.52,0.07505440711975098,0.798,1
0.0,0.0,0.509,0.06456422805786133,0.79,1
0.0,0.0,0.491,0.06398224830627441,0.813,1
0.0,0.0,0.486,0.0642857551574707,0.793,1
0.0,0.0,0.491,0.07256054878234863,0.794,1
0.0,0.0,0.56,0.0613250732421875,0.814,1
0.0,0.0,0.482,0.06179666519165039,0.791,1
0.0,0.0,0.495,0.06291890144348145,0.778,1
0.0,0.0,0.483,0.06328296661376953,0.811,1
0.0,0.0,0.489,0.05248284339904785,0.809,1
0.0,0.0,0.514,0.06335949897766113,0.773,1
0.0,0.0,0.48,0.06338000297546387,0.823,1
0.0,0.0,0.495,0.07393980026245117,0.79,1
0.0,0.0,0.48,0.07500624656677246,0.823,1
0.0,0.0,0.478,0.06802701950073242,0.794,1
0.0,0.0,0.509,0.08015561103820801,0.791,1
0.0,0.0,0.483,0.08444619178771973,0.809,1
0.0,0.0,0.515,0.05169939994812012,0.805,1
0.0,0.0,0.511,0.06368470191955566,0.816,1
0.0,0.0,0.495,0.06299400329589844,0.797,1
0.0,0.0,0.485,0.0740196704864502,0.789,1
0.0,0.0,0.48,0.07483434677124023,0.795,1
0.0,0.0,0.497,0.07312321662902832,0.771,1
0.0,0.0,0.511,0.06437063217163086,0.803,1
0.0,0.0,0.499,0.06040787696838379,0.802,1
0.0,0.0,0.52,0.06379342079162598,0.795,1
0.0,0.0,0.515,0.0653982162475586,0.79,1
0.0,0.0,0.497,0.10561823844909668,0.811,1
0.0,0.0,0.493,0.0773916244506836,0.787,1
0.0,0.0,0.519,0.0769646167755127,0.794,1
0.0,0.0,0.481,0.08205986022949219,0.826,1
0.0,0.0,0.477,0.07681107521057129,0.805,1
0.0,0.0,0.495,0.06486630439758301,0.809,1
0.0,0.0,0.492,0.06362223625183105,0.805,1
0.0,0.0,0.497,0.06496858596801758,0.816,1
0.0,0.0,0.529,0.06303024291992188,0.798,1
0.0,0.0,0.502,0.06256628036499023,0.827,1
0.0,0.0,0.492,0.06241464614868164,0.801,1
0.0,0.0,0.495,0.07296323776245117,0.797,1
0.0,0.0,0.474,0.06407022476196289,0.811,1
0.0,0.0,0.51,0.06259846687316895,0.814,1
0.0,0.0,0.55,0.07327103614807129,0.8,1
0.0,0.0,0.529,0.07473611831665039,0.8,1
0.0,0.0,0.482,0.07459354400634766,0.809,1
0.0,0.0,0.514,0.06869387626647949,0.794,1
0.0,0.0,0.544,0.07347917556762695,0.812,1
0.0,0.0,0.522,0.06350350379943848,0.801,1
0.0,0.0,0.468,0.06274247169494629,0.791,1
0.0,0.0,0.527,0.06211066246032715,0.803,1
0.0,0.0,0.506,0.0631566047668457,0.827,1
0.0,0.0,0.514,0.06275200843811035,0.811,1
0.0,0.0,0.496,0.06240510940551758,0.774,1
0.0,0.0,0.496,0.061820030212402344,0.805,1
0.0,0.0,0.516,0.06398320198059082,0.777,1
0.0,0.0,0.477,0.06222891807556152,0.799,1
0.0,0.0,0.514,0.06697344779968262,0.777,1
0.0,0.0,0.514,0.09036970138549805,0.822,1
0.0,0.0,0.487,0.07235980033874512,0.801,1
0.0,0.0,0.511,0.06641125679016113,0.787,1
0.0,0.0,0.503,0.06630921363830566,0.809,1
0.0,0.0,0.517,0.06482839584350586,0.797,1
0.0,0.0,0.496,0.06214308738708496,0.801,1
0.0,0.0,0.482,0.06167149543762207,0.789,1
0.0,0.0,0.5,0.0578761100769043,0.797,1
0.0,0.0,0.48,0.062050819396972656,0.821,1
0.0,0.0,0.507,0.05515027046203613,0.811,1
0.0,0.0,0.476,0.06304049491882324,0.777,1
0.0,0.0,0.527,0.06282973289489746,0.801,1
0.0,0.0,0.507,0.05295443534851074,0.819,1
0.0,0.0,0.507,0.0637669563293457,0.805,1
0.0,0.0,0.483,0.07281374931335449,0.805,1
0.0,0.0,0.497,0.05989551544189453,0.785,1
0.0,0.0,0.466,0.07447457313537598,0.792,1
0.0,0.0,0.468,0.06665992736816406,0.786,1
1.0,0.0,0.531,0.48831987380981445,0.587,2
0.0,0.0,0.506,0.06130409240722656,0.952,2
0.0,0.0,0.482,0.07439327239990234,0.953,2
0.0,0.0,0.504,0.0659952163696289,0.949,2
0.0,0.0,0.478,0.06284213066101074,0.952,2
0.0,0.0,0.488,0.07500290870666504,0.957,2
0.0,0.0,0.563,0.0754690170288086,0.963,2
0.0,0.0,0.509,0.06523513793945312,0.954,2
0.0,0.0,0.494,0.06198763847351074,0.961,2
0.0,0.0,0.502,0.06427454948425293,0.952,2
0.0,0.0,0.519,0.06279253959655762,0.945,2
0.0,0.0,0.493,0.06120657920837402,0.944,2
0.0,0.0,0.497,0.06266188621520996,0.939,2
0.0,0.0,0.501,0.05037641525268555,0.971,2
0.0,0.0,0.505,0.04958915710449219,0.939,2
0.0,0.0,0.52,0.051171302795410156,0.939,2
0.0,0.0,0.51,0.06235957145690918,0.951,2
0.0,0.0,0.505,0.08848285675048828,0.95,2
0.0,0.0,0.508,0.1020057201385498,0.952,2
0.0,0.0,0.518,0.07774066925048828,0.96,2
0.0,0.0,0.521,0.07523107528686523,0.953,2
0.0,0.0,0.524,0.06178164482116699,0.955,2
0.0,0.0,0.511,0.061118125915527344,0.949,2
0.0,0.0,0.514,0.06251931190490723,0.957,2
0.0,0.0,0.504,0.0620114803314209,0.957,2
0.0,0.0,0.478,0.06142163276672363,0.951,2
0.0,0.0,0.502,0.04955911636352539,0.962,2
0.0,0.0,0.509,0.049395084381103516,0.962,2
0.0,0.0,0.52,0.05069875717163086,0.949,2
0.0,0.0,0.498,0.04988288879394531,0.947,2
0.0,0.0,0.504,0.06183576583862305,0.961,2
0.0,0.0,0.537,0.0633859634399414,0.951,2
0.0,0.0,0.511,0.06438469886779785,0.957,2
0.0,0.0,0.496,0.063385009765625,0.941,2
0.0,0.0,0.512,0.06362056732177734,0.951,2
0.0,0.0,0.504,0.0614163875579834,0.946,2
0.0,0.0,0.493,0.05050230026245117,0.956,2
0.0,0.0,0.483,0.061229705810546875,0.945,2
0.0,0.0,0.466,0.061866044998168945,0.954,2
0.0,0.0,0.509,0.05128598213195801,0.964,2
0.0,0.0,0.473,0.06012105941772461,0.952,2
0.0,0.0,0.51,0.05040311813354492,0.962,2
0.0,0.0,0.507,0.06132674217224121,0.95,2
0.0,0.0,0.504,0.06176018714904785,0.947,2
0.0,0.0,0.533,0.06182146072387695,0.954,2
0.0,0.0,0.499,0.07332539558410645,0.947,2
0.0,0.0,0.514,0.0639791488647461,0.951,2
0.0,0.0,0.489,0.06421756744384766,0.947,2
0.0,0.0,0.506,0.07344818115234375,0.953,2
0.0,0.0,0.504,0.061586618423461914,0.955,2
0.0,0.0,0.509,0.06111001968383789,0.958,2
0.0,0.0,0.488,0.0636131763458252,0.951,2
0.0,0.0,0.522,0.06125473976135254,0.931,2
0.0,0.0,0.519,0.062391042709350586,0.955,2
0.0,0.0,0.517,0.061301231384277344,0.952,2
0.0,0.0,0.491,0.06240725517272949,0.949,2
0.0,0.0,0.512,0.06187725067138672,0.949,2
0.0,0.0,0.5,0.05128836631774902,0.948,2
0.0,0.0,0.496,0.06241250038146973,0.951,2
0.0,0.0,0.507,0.061757564544677734,0.95,2
0.0,0.0,0.492,0.06202578544616699,0.956,2
0.0,0.0,0.532,0.06152677536010742,0.953,2
0.0,0.0,0.51,0.0636439323425293,0.953,2
0.0,0.0,0.504,0.05086064338684082,0.956,2
0.0,0.0,0.501,0.06077241897583008,0.959,2
0.0,0.0,0.49,0.061037540435791016,0.939,2
0.0,0.0,0.484,0.06348180770874023,0.963,2
0.0,0.0,0.502,0.06240129470825195,0.954,2
0.0,0.0,0.495,0.06118035316467285,0.963,2
0.0,0.0,0.505,0.06028175354003906,0.942,2
0.0,0.0,0.484,0.061775922775268555,0.953,2
0.0,0.0,0.488,0.06230950355529785,0.948,2
0.0,0.0,0.519,0.07231903076171875,0.955,2
0.0,0.0,0.48,0.06280684471130371,0.953,2
0.0,0.0,0.487,0.07286500930786133,0.939,2
0.0,0.0,0.504,0.0740044116973877,0.959,2
0.0,0.0,0.502,0.06111717224121094,0.965,2
0.0,0.0,0.494,0.06089520454406738,0.96,2
0.0,0.0,0.498,0.06224870681762695,0.949,2
0.0,0.0,0.507,0.05010843276977539,0.965,2
0.0,0.0,0.498,0.07201981544494629,0.94,2
0.0,0.0,0.519,0.0627751350402832,0.941,2
0.0,0.0,0.471,0.0640115737915039,0.951,2
0.0,0.0,0.514,0.06177520751953125,0.964,2
0.0,0.0,0.525,0.06231212615966797,0.947,2
0.0,0.0,0.517,0.061768531799316406,0.958,2
0.0,0.0,0.52,0.06293225288391113,0.952,2
0.0,0.0,0.506,0.06276178359985352,0.95,2
0.0,0.0,0.48,0.06154775619506836,0.952,2
0.0,0.0,0.49,0.06340718269348145,0.945,2
0.0,0.0,0.497,0.06193423271179199,0.967,2
0.0,0.0,0.521,0.050086259841918945,0.951,2
0.0,0.0,0.488,0.06103968620300293,0.961,2
0.0,0.0,0.495,0.04960346221923828,0.941,2
0.0,0.0,0.492,0.06951642036437988,0.946,2
0.0,0.0,0.482,0.07504677772521973,0.946,2
0.0,0.0,0.506,0.06137490272521973,0.947,2
0.0,0.0,0.479,0.05992698669433594,0.952,2
0.0,0.0,0.529,0.04938697814941406,0.945,2
0.0,0.0,0.503,0.06318449974060059,0.947,2
