drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.5167627357803944,0.14153695106506348,0.811,1
0.0,0.0,0.5939169571163073,0.0841975212097168,0.834,1
0.0,0.0,0.5438721101983625,0.0932776927947998,0.807,1
0.0,0.0,0.5907727695530804,0.08000373840332031,0.811,1
1.0,1.0,0.5992419621130872,0.4811208248138428,0.8,1
0.0,0.0,0.7338077767013842,0.1179664134979248,0.913,1
1.0,1.0,0.25453155360756385,0.47141170501708984,0.861,1
1.0,1.0,0.6171473538162404,0.4792602062225342,0.803,1
1.0,1.0,0.7947896592551115,0.4496784210205078,0.921,1
1.0,1.0,0.1785849794739729,0.44338011741638184,0.727,1
1.0,1.0,0.3748963861706701,0.44724273681640625,0.831,1
1.0,1.0,0.1277782327063265,0.4247012138366699,0.862,1
1.0,1.0,0.5047414733369919,0.4234025478363037,0.686,1
1.0,1.0,0.30519246953508694,0.4317493438720703,0.836,1
0.0,0.0,0.4454440263197351,0.07115983963012695,0.855,1
1.0,1.0,0.13365309452973406,0.44556236267089844,0.902,1
1.0,1.0,0.8045222989856741,0.45581865310668945,0.561,1
0.0,0.0,0.7110088737309981,0.07189822196960449,0.891,1
0.0,0.0,0.844853272384481,0.0918421745300293,0.942,1
1.0,1.0,0.3301251485031702,0.4703545570373535,0.761,1
0.0,0.0,0.37118673893476006,0.06989693641662598,0.873,1
0.0,0.0,0.4045600427874446,0.06715989112854004,0.863,1
0.0,0.0,0.29702354295120037,0.08080053329467773,0.89,1
1.0,1.0,0.5098399255006647,0.43648242950439453,0.845,1
1.0,1.0,0.10619123667718722,0.43465590476989746,0.873,1
0.0,0.0,0.1912529510634564,0.08150935173034668,0.867,1
0.0,0.0,0.13371024618784333,0.0810401439666748,0.903,1
1.0,1.0,0.3207594788881656,0.44408488273620605,0.786,1
1.0,1.0,0.5089422233170383,0.42287397384643555,0.862,1
1.0,1.0,0.20925693819796398,0.41645240783691406,0.87,1
1.0,1.0,0.4209644545991178,0.4260752201080322,0.843,1
0.0,0.0,0.42887182324852546,0.07858896255493164,0.886,1
0.0,0.0,0.42685932077879385,0.07311224937438965,0.885,1
0.0,0.0,0.5137697359873893,0.08359074592590332,0.897,1
1.0,1.0,0.11962535055395085,0.43032360076904297,0.896,1
1.0,1.0,0.23783181115365004,0.43236374855041504,0.871,1
1.0,1.0,0.6928373764148342,0.4404873847961426,0.738,1
1.0,1.0,0.24849341919971057,0.42739224433898926,0.838,1
0.0,0.0,0.19274371171719107,0.0711817741394043,0.892,1
1.0,1.0,0.13792856743920345,0.42740821838378906,0.918,1
1.0,1.0,0.3557170525918881,0.44242334365844727,0.813,1
1.0,1.0,0.16263086210498057,0.4314262866973877,0.902,1
1.0,1.0,0.8874341422718788,0.44633984565734863,0.591,1
1.0,1.0,0.7291655598132968,0.4439547061920166,0.88,1
1.0,1.0,0.4771274494542356,0.43926334381103516,0.826,1
1.0,1.0,0.7180665330467495,0.47191524505615234,0.882,1
1.0,1.0,0.8791438566229048,0.4679532051086426,0.933,1
1.0,1.0,0.28604399180046836,0.4631314277648926,0.694,1
1.0,1.0,0.7138475853153056,0.4582865238189697,0.811,1
1.0,1.0,0.8997500595597716,0.408477783203125,0.931,1
1.0,1.0,0.2975265569364107,0.44211483001708984,0.681,1
0.0,0.0,0.26327363754012656,0.08659625053405762,0.897,1
1.0,1.0,0.8404535384191212,0.4421839714050293,0.785,1
1.0,1.0,0.37173962274035577,0.4178318977355957,0.76,1
1.0,1.0,0.7720432174621259,0.40316319465637207,0.848,1
1.0,1.0,0.16193810171678003,0.41719722747802734,0.75,1
1.0,1.0,0.6910514395945084,0.42467188835144043,0.683,1
1.0,1.0,0.46115795571149376,0.4141829013824463,0.852,1
0.0,0.0,0.3303737230262297,0.06814146041870117,0.872,1
0.0,0.0,0.3934706573354477,0.05709266662597656,0.871,1
0.0,0.0,0.49723737622870456,0.05626940727233887,0.877,1
1.0,1.0,0.14591584640884792,0.3666558265686035,0.876,1
1.0,1.0,0.8508665666778531,0.42517948150634766,0.589,1
1.0,1.0,0.4916554249918841,0.42450642585754395,0.815,1
1.0,1.0,0.16293968519681645,0.43265843391418457,0.857,1
1.0,1.0,0.7319407414068848,0.4223051071166992,0.687,1
1.0,1.0,0.1503164790789332,0.42499232292175293,0.755,1
