drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.497,0.07153606414794922,0.799,1
0.0,0.0,0.486,0.08223390579223633,0.785,1
0.0,0.0,0.497,0.07342147827148438,0.804,1
0.0,0.0,0.521,0.07700085639953613,0.805,1
0.0,0.0,0.51,0.12929868698120117,0.807,1
0.0,0.0,0.514,0.08307027816772461,0.779,1
0.0,0.0,0.504,0.06908130645751953,0.806,1
0.0,0.0,0.49,0.06922006607055664,0.815,1
0.0,0.0,0.488,0.062284231185913086,0.778,1
0.0,0.0,0.501,0.06930351257324219,0.808,1
0.0,0.0,0.509,0.06877303123474121,0.785,1
0.0,0.0,0.48,0.06852579116821289,0.782,1
0.0,0.0,0.552,0.06911015510559082,0.782,1
0.0,0.0,0.472,0.07017397880554199,0.778,1
0.0,0.0,0.504,0.06819891929626465,0.821,1
0.0,0.0,0.518,0.06769800186157227,0.804,1
0.0,0.0,0.533,0.06696820259094238,0.782,1
0.0,0.0,0.486,0.06790971755981445,0.792,1
0.0,0.0,0.53,0.05968332290649414,0.809,1
0.0,0.0,0.519,0.06792187690734863,0.823,1
0.0,0.0,0.463,0.06670641899108887,0.801,1
0.0,0.0,0.481,0.06779336929321289,0.805,1
0.0,0.0,0.499,0.06808304786682129,0.751,1
0.0,0.0,0.516,0.06366395950317383,0.816,1
0.0,0.0,0.473,0.06750726699829102,0.801,1
0.0,0.0,0.511,0.06714272499084473,0.816,1
0.0,0.0,0.525,0.05766630172729492,0.833,1
0.0,0.0,0.51,0.0663306713104248,0.806,1
0.0,0.0,0.533,0.06755256652832031,0.779,1
0.0,0.0,0.497,0.05764913558959961,0.816,1
0.0,0.0,0.48,0.057355403900146484,0.792,1
0.0,0.0,0.511,0.06864786148071289,0.807,1
0.0,0.0,0.511,0.0667581558227539,0.81,1
0.0,0.0,0.509,0.06883549690246582,0.793,1
0.0,0.0,0.499,0.05868935585021973,0.81,1
0.0,0.0,0.543,0.07131218910217285,0.811,1
0.0,0.0,0.52,0.058957576751708984,0.788,1
0.0,0.0,0.486,0.06876945495605469,0.8,1
0.0,0.0,0.501,0.0666203498840332,0.809,1
0.0,0.0,0.521,0.06760048866271973,0.81,1
0.0,0.0,0.477,0.06712770462036133,0.808,1
0.0,0.0,0.505,0.05882668495178223,0.797,1
0.0,0.0,0.486,0.06740236282348633,0.802,1
0.0,0.0,0.489,0.0674281120300293,0.794,1
0.0,0.0,0.486,0.05709648132324219,0.795,1
0.0,0.0,0.484,0.061987876892089844,0.805,1
0.0,0.0,0.497,0.08999204635620117,0.791,1
0.0,0.0,0.527,0.06980633735656738,0.813,1
0.0,0.0,0.5,0.07057356834411621,0.785,1
0.0,0.0,0.477,0.06708788871765137,0.803,1
0.0,0.0,0.509,0.06708288192749023,0.804,1
0.0,0.0,0.493,0.0567936897277832,0.799,1
0.0,0.0,0.506,0.05613231658935547,0.786,1
0.0,0.0,0.498,0.06721138954162598,0.793,1
0.0,0.0,0.514,0.06718778610229492,0.804,1
0.0,0.0,0.507,0.06817913055419922,0.791,1
0.0,0.0,0.486,0.05724835395812988,0.781,1
0.0,0.0,0.503,0.06587505340576172,0.806,1
0.0,0.0,0.507,0.06994009017944336,0.807,1
0.0,0.0,0.502,0.06618380546569824,0.815,1
0.0,0.0,0.504,0.0678706169128418,0.815,1
0.0,0.0,0.553,0.06695151329040527,0.805,1
0.0,0.0,0.474,0.06976699829101562,0.806,1
0.0,0.0,0.494,0.06694149971008301,0.801,1
0.0,0.0,0.51,0.05618453025817871,0.805,1
0.0,0.0,0.486,0.058862924575805664,0.797,1
0.0,0.0,0.517,0.05859494209289551,0.82,1
0.0,0.0,0.501,0.0675199031829834,0.811,1
0.0,0.0,0.501,0.0666954517364502,0.789,1
0.0,0.0,0.472,0.06813192367553711,0.808,1
0.0,0.0,0.51,0.07120919227600098,0.809,1
0.0,0.0,0.5,0.0703439712524414,0.807,1
0.0,0.0,0.505,0.07056403160095215,0.783,1
0.0,0.0,0.504,0.07016301155090332,0.799,1
0.0,0.0,0.516,0.07013916969299316,0.822,1
0.0,0.0,0.487,0.06949973106384277,0.8,1
0.0,0.0,0.499,0.07032299041748047,0.812,1
