drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.497,0.07593894004821777,0.973,1
0.0,0.0,0.518,0.0746309757232666,0.974,1
0.0,0.0,0.513,0.0739893913269043,0.977,1
0.0,0.0,0.503,0.07304596900939941,0.966,1
0.0,0.0,0.504,0.07467484474182129,0.966,1
0.0,0.0,0.491,0.06267333030700684,0.979,1
0.0,0.0,0.497,0.07473874092102051,0.97,1
0.0,0.0,0.488,0.07631039619445801,0.972,1
0.0,0.0,0.515,0.07766222953796387,0.97,1
0.0,0.0,0.474,0.07537460327148438,0.968,1
0.0,0.0,0.51,0.07591891288757324,0.973,1
0.0,0.0,0.503,0.07401394844055176,0.976,1
0.0,0.0,0.485,0.07276558876037598,0.967,1
0.0,0.0,0.523,0.07376527786254883,0.968,1
0.0,0.0,0.472,0.07522940635681152,0.973,1
0.0,0.0,0.5,0.0731956958770752,0.978,1
0.0,0.0,0.524,0.07466721534729004,0.973,1
0.0,0.0,0.513,0.07454633712768555,0.971,1
0.0,0.0,0.491,0.0766448974609375,0.974,1
0.0,0.0,0.514,0.07239437103271484,0.98,1
0.0,0.0,0.489,0.07569074630737305,0.97,1
0.0,0.0,0.517,0.07362174987792969,0.967,1
0.0,0.0,0.507,0.07378721237182617,0.97,1
0.0,0.0,0.501,0.07337617874145508,0.974,1
0.0,0.0,0.488,0.07462835311889648,0.973,1
0.0,0.0,0.466,0.0867776870727539,0.972,1
0.0,0.0,0.52,0.06470227241516113,0.967,1
0.0,0.0,0.516,0.07567286491394043,0.967,1
0.0,0.0,0.52,0.07441043853759766,0.968,1
0.0,0.0,0.506,0.07648086547851562,0.967,1
0.0,0.0,0.518,0.06363844871520996,0.969,1
0.0,0.0,0.51,0.07531309127807617,0.969,1
0.0,0.0,0.499,0.07827019691467285,0.971,1
0.0,0.0,0.511,0.0799398422241211,0.971,1
0.0,0.0,0.505,0.07473969459533691,0.972,1
0.0,0.0,0.511,0.06492733955383301,0.972,1
0.0,0.0,0.502,0.0634157657623291,0.964,1
0.0,0.0,0.489,0.07523727416992188,0.965,1
0.0,0.0,0.493,0.0746603012084961,0.981,1
0.0,0.0,0.507,0.07427597045898438,0.975,1
0.0,0.0,0.484,0.06432938575744629,0.975,1
0.0,0.0,0.483,0.07554483413696289,0.977,1
0.0,0.0,0.484,0.07421493530273438,0.971,1
0.0,0.0,0.508,0.07412195205688477,0.963,1
0.0,0.0,0.492,0.07461667060852051,0.969,1
0.0,0.0,0.517,0.07617616653442383,0.966,1
0.0,0.0,0.495,0.07712244987487793,0.971,1
0.0,0.0,0.492,0.07483196258544922,0.972,1
0.0,0.0,0.514,0.07869124412536621,0.969,1
0.0,0.0,0.493,0.0755319595336914,0.978,1
0.0,0.0,0.497,0.07479524612426758,0.98,1
0.0,0.0,0.496,0.0752723217010498,0.964,1
0.0,0.0,0.519,0.0639033317565918,0.977,1
0.0,0.0,0.499,0.0739741325378418,0.965,1
0.0,0.0,0.504,0.07505083084106445,0.963,1
0.0,0.0,0.5,0.0866250991821289,0.976,1
0.0,0.0,0.502,0.06515288352966309,0.972,1
0.0,0.0,0.509,0.07405686378479004,0.977,1
0.0,0.0,0.482,0.06299400329589844,0.967,1
0.0,0.0,0.489,0.06406545639038086,0.977,1
0.0,0.0,0.487,0.06431198120117188,0.968,1
0.0,0.0,0.489,0.07672333717346191,0.968,1
0.0,0.0,0.521,0.07612299919128418,0.974,1
0.0,0.0,0.51,0.07542538642883301,0.972,1
0.0,0.0,0.5,0.07673835754394531,0.969,1
0.0,0.0,0.513,0.07511782646179199,0.966,1
0.0,0.0,0.489,0.06583142280578613,0.971,1
0.0,0.0,0.514,0.07487249374389648,0.972,1
0.0,0.0,0.504,0.0742948055267334,0.977,1
0.0,0.0,0.523,0.06295514106750488,0.977,1
0.0,0.0,0.484,0.0745401382446289,0.974,1
0.0,0.0,0.51,0.06449437141418457,0.978,1
0.0,0.0,0.518,0.06359314918518066,0.98,1
0.0,0.0,0.494,0.0733957290649414,0.966,1
0.0,0.0,0.504,0.0736532211303711,0.965,1
0.0,0.0,0.5,0.07388925552368164,0.972,1
0.0,0.0,0.485,0.06441593170166016,0.975,1
0.0,0.0,0.481,0.07520771026611328,0.958,1
0.0,0.0,0.491,0.0768275260925293,0.977,1
0.0,0.0,0.487,0.07653951644897461,0.971,1
0.0,0.0,0.484,0.07628202438354492,0.977,1
0.0,0.0,0.515,0.07577276229858398,0.976,1
0.0,0.0,0.496,0.07671499252319336,0.963,1
0.0,0.0,0.507,0.06606268882751465,0.976,1
0.0,0.0,0.524,0.0746297836303711,0.973,1
0.0,0.0,0.488,0.07412576675415039,0.977,1
0.0,0.0,0.491,0.07494592666625977,0.974,1
0.0,0.0,0.499,0.114410400390625,0.97,1
0.0,0.0,0.485,0.07439184188842773,0.975,1
0.0,0.0,0.506,0.07794189453125,0.973,1
0.0,0.0,0.531,0.07676529884338379,0.971,1
0.0,0.0,0.502,0.07541775703430176,0.976,1
0.0,0.0,0.527,0.07541322708129883,0.97,1
0.0,0.0,0.486,0.07478189468383789,0.966,1
0.0,0.0,0.494,0.07445883750915527,0.971,1
0.0,0.0,0.483,0.06481575965881348,0.967,1
0.0,0.0,0.516,0.07375836372375488,0.962,1
0.0,0.0,0.528,0.07627081871032715,0.966,1
0.0,0.0,0.511,0.07604837417602539,0.969,1
0.0,0.0,0.54,0.07615303993225098,0.973,1
0.0,0.0,0.527,0.07394576072692871,0.32,2
0.0,0.0,0.483,0.0625462532043457,0.331,2
0.0,0.0,0.492,0.061742544174194336,0.367,2
0.0,0.0,0.492,0.06479287147521973,0.359,2
0.0,0.0,0.494,0.07390069961547852,0.344,2
0.0,0.0,0.475,0.07376360893249512,0.321,2
0.0,0.0,0.477,0.062052011489868164,0.344,2
0.0,0.0,0.493,0.06301426887512207,0.344,2
0.0,0.0,0.517,0.07668280601501465,0.354,2
0.0,0.0,0.497,0.07355451583862305,0.339,2
0.0,0.0,0.52,0.08623647689819336,0.321,2
0.0,0.0,0.47,0.07608890533447266,0.357,2
0.0,0.0,0.488,0.07488584518432617,0.386,2
0.0,0.0,0.485,0.07790231704711914,0.348,2
0.0,0.0,0.505,0.07598733901977539,0.319,2
0.0,0.0,0.499,0.07924628257751465,0.331,2
0.0,0.0,0.521,0.0650475025177002,0.352,2
0.0,0.0,0.483,0.08756256103515625,0.339,2
0.0,0.0,0.496,0.07518339157104492,0.357,2
0.0,0.0,0.514,0.06301736831665039,0.353,2
0.0,0.0,0.508,0.08677291870117188,0.355,2
0.0,0.0,0.528,0.07521605491638184,0.358,2
0.0,0.0,0.509,0.06470203399658203,0.345,2
0.0,0.0,0.515,0.0738382339477539,0.35,2
0.0,0.0,0.506,0.07422423362731934,0.359,2
0.0,0.0,0.52,0.06296157836914062,0.352,2
0.0,0.0,0.484,0.06400132179260254,0.312,2
0.0,0.0,0.509,0.0740809440612793,0.324,2
0.0,0.0,0.492,0.07655096054077148,0.337,2
0.0,0.0,0.502,0.07731795310974121,0.351,2
0.0,0.0,0.492,0.07714605331420898,0.349,2
0.0,0.0,0.481,0.07565879821777344,0.341,2
0.0,0.0,0.51,0.07584381103515625,0.35,2
0.0,0.0,0.514,0.07411527633666992,0.353,2
0.0,0.0,0.488,0.07478857040405273,0.31,2
0.0,0.0,0.501,0.07417130470275879,0.359,2
0.0,0.0,0.496,0.07537722587585449,0.347,2
0.0,0.0,0.501,0.07640385627746582,0.34,2
0.0,0.0,0.491,0.07369089126586914,0.347,2
0.0,0.0,0.522,0.07257652282714844,0.321,2
0.0,0.0,0.517,0.0736091136932373,0.34,2
0.0,0.0,0.477,0.06327700614929199,0.36,2
0.0,0.0,0.481,0.07534146308898926,0.34,2
0.0,0.0,0.471,0.07680892944335938,0.333,2
0.0,0.0,0.496,0.07559514045715332,0.351,2
0.0,0.0,0.501,0.07561349868774414,0.343,2
0.0,0.0,0.507,0.0772542953491211,0.365,2
0.0,0.0,0.486,0.0641484260559082,0.366,2
0.0,0.0,0.514,0.07370257377624512,0.358,2
0.0,0.0,0.493,0.07485842704772949,0.304,2
0.0,0.0,0.46,0.07822489738464355,0.324,2
0.0,0.0,0.499,0.0747365951538086,0.352,2
0.0,0.0,0.496,0.07476067543029785,0.352,2
0.0,0.0,0.479,0.12440919876098633,0.356,2
0.0,0.0,0.503,0.06479167938232422,0.363,2
0.0,0.0,0.498,0.07589960098266602,0.344,2
0.0,0.0,0.502,0.07436370849609375,0.353,2
0.0,0.0,0.495,0.06467533111572266,0.324,2
0.0,0.0,0.505,0.0737450122833252,0.343,2
0.0,0.0,0.503,0.07329940795898438,0.347,2
0.0,0.0,0.534,0.06410455703735352,0.371,2
0.0,0.0,0.503,0.0635840892791748,0.358,2
0.0,0.0,0.483,0.07435488700866699,0.326,2
0.0,0.0,0.53,0.07492184638977051,0.345,2
0.0,0.0,0.507,0.07437324523925781,0.354,2
0.0,0.0,0.49,0.07562065124511719,0.362,2
0.0,0.0,0.481,0.0754396915435791,0.342,2
0.0,0.0,0.521,0.07729339599609375,0.37,2
0.0,0.0,0.5,0.06313967704772949,0.312,2
0.0,0.0,0.526,0.0745086669921875,0.361,2
0.0,0.0,0.501,0.07288146018981934,0.346,2
0.0,0.0,0.47,0.06331157684326172,0.335,2
0.0,0.0,0.489,0.06210923194885254,0.321,2
0.0,0.0,0.517,0.07325387001037598,0.332,2
0.0,0.0,0.501,0.07246971130371094,0.328,2
0.0,0.0,0.516,0.06374120712280273,0.355,2
0.0,0.0,0.498,0.07508134841918945,0.33,2
0.0,0.0,0.507,0.07303643226623535,0.364,2
0.0,0.0,0.515,0.0732424259185791,0.319,2
0.0,0.0,0.473,0.06261754035949707,0.32,2
0.0,0.0,0.497,0.07377123832702637,0.347,2
0.0,0.0,0.472,0.09181404113769531,0.334,2
0.0,0.0,0.487,0.06243586540222168,0.339,2
0.0,0.0,0.519,0.07491016387939453,0.339,2
0.0,0.0,0.49,0.07423567771911621,0.351,2
0.0,0.0,0.506,0.07567310333251953,0.334,2
0.0,0.0,0.486,0.07686805725097656,0.321,2
0.0,0.0,0.494,0.07725644111633301,0.34,2
0.0,0.0,0.514,0.0764470100402832,0.339,2
0.0,0.0,0.498,0.0731663703918457,0.326,2
0.0,0.0,0.507,0.0753481388092041,0.349,2
0.0,0.0,0.518,0.07520389556884766,0.337,2
0.0,0.0,0.508,0.07400298118591309,0.322,2
0.0,0.0,0.491,0.07730817794799805,0.329,2
0.0,0.0,0.507,0.07533574104309082,0.349,2
0.0,0.0,0.542,0.07407045364379883,0.338,2
0.0,0.0,0.498,0.06444048881530762,0.348,2
0.0,0.0,0.497,0.07531404495239258,0.319,2
0.0,0.0,0.516,0.06268453598022461,0.37,2
0.0,0.0,0.487,0.07464766502380371,0.35,2
