drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.49,0.14186525344848633,0.968,1
0.0,0.0,0.496,0.13875436782836914,0.97,1
0.0,0.0,0.504,0.12767410278320312,0.969,1
0.0,0.0,0.514,0.13820385932922363,0.967,1
0.0,0.0,0.493,0.13868093490600586,0.969,1
0.0,0.0,0.508,0.13828277587890625,0.971,1
0.0,0.0,0.497,0.12892532348632812,0.974,1
0.0,0.0,0.504,0.14422392845153809,0.964,1
0.0,0.0,0.513,0.1418318748474121,0.978,1
0.0,0.0,0.488,0.15660762786865234,0.964,1
0.0,0.0,0.521,0.1448357105255127,0.971,1
0.0,0.0,0.51,0.15116596221923828,0.965,1
0.0,0.0,0.467,0.12984919548034668,0.967,1
0.0,0.0,0.488,0.1168375015258789,0.972,1
0.0,0.0,0.527,0.1432807445526123,0.97,1
0.0,0.0,0.493,0.14214134216308594,0.971,1
0.0,0.0,0.514,0.12851881980895996,0.971,1
0.0,0.0,0.488,0.14211273193359375,0.987,1
0.0,0.0,0.524,0.11953520774841309,0.97,1
0.0,0.0,0.503,0.13973355293273926,0.964,1
0.0,0.0,0.497,0.1406857967376709,0.968,1
0.0,0.0,0.499,0.12739324569702148,0.976,1
0.0,0.0,0.519,0.1403970718383789,0.956,1
0.0,0.0,0.499,0.13836002349853516,0.955,1
0.0,0.0,0.508,0.14010095596313477,0.98,1
0.0,0.0,0.48,0.1406412124633789,0.974,1
0.0,0.0,0.487,0.14083218574523926,0.984,1
0.0,0.0,0.511,0.12624359130859375,0.969,1
0.0,0.0,0.517,0.14298248291015625,0.973,1
0.0,0.0,0.536,0.14269518852233887,0.977,1
0.0,0.0,0.478,0.11560940742492676,0.962,1
0.0,0.0,0.517,0.13632845878601074,0.973,1
0.0,0.0,0.509,0.13733744621276855,0.97,1
0.0,0.0,0.533,0.14121294021606445,0.968,1
0.0,0.0,0.526,0.12596917152404785,0.968,1
0.0,0.0,0.48,0.1417851448059082,0.976,1
0.0,0.0,0.49,0.14271211624145508,0.97,1
0.0,0.0,0.486,0.12754058837890625,0.975,1
0.0,0.0,0.502,0.1271049976348877,0.979,1
0.0,0.0,0.519,0.11679315567016602,0.97,1
0.0,0.0,0.502,0.13031220436096191,0.975,1
0.0,0.0,0.478,0.14208674430847168,0.97,1
0.0,0.0,0.5,0.13910794258117676,0.96,1
0.0,0.0,0.492,0.11658072471618652,0.977,1
0.0,0.0,0.506,0.13745403289794922,0.966,1
0.0,0.0,0.522,0.1409165859222412,0.975,1
0.0,0.0,0.487,0.14998745918273926,0.974,1
0.0,0.0,0.496,0.1400902271270752,0.97,1
0.0,0.0,0.507,0.11977577209472656,0.977,1
0.0,0.0,0.498,0.12945342063903809,0.973,1
0.0,0.0,0.492,0.14395523071289062,0.962,1
0.0,0.0,0.498,0.12979745864868164,0.978,1
0.0,0.0,0.502,0.1441941261291504,0.968,1
0.0,0.0,0.48,0.13883399963378906,0.974,1
0.0,0.0,0.497,0.13117241859436035,0.975,1
0.0,0.0,0.512,0.11708283424377441,0.956,1
0.0,0.0,0.503,0.1157541275024414,0.97,1
0.0,0.0,0.5,0.1297304630279541,0.968,1
0.0,0.0,0.499,0.1415243148803711,0.971,1
0.0,0.0,0.508,0.14359068870544434,0.968,1
0.0,0.0,0.477,0.1278364658355713,0.97,1
0.0,0.0,0.518,0.13402009010314941,0.97,1
0.0,0.0,0.516,0.14277172088623047,0.978,1
0.0,0.0,0.504,0.14330434799194336,0.973,1
0.0,0.0,0.517,0.1405506134033203,0.962,1
0.0,0.0,0.504,0.1396791934967041,0.974,1
0.0,0.0,0.487,0.11591839790344238,0.967,1
0.0,0.0,0.497,0.12480735778808594,0.971,1
0.0,0.0,0.503,0.13245201110839844,0.973,1
0.0,0.0,0.516,0.14363598823547363,0.966,1
0.0,0.0,0.499,0.13945627212524414,0.973,1
0.0,0.0,0.491,0.14001679420471191,0.965,1
0.0,0.0,0.505,0.13737940788269043,0.976,1
0.0,0.0,0.496,0.1367173194885254,0.97,1
0.0,0.0,0.514,0.13999485969543457,0.976,1
0.0,0.0,0.507,0.13122200965881348,0.973,1
0.0,0.0,0.521,0.15202546119689941,0.966,1
0.0,0.0,0.487,0.14196062088012695,0.971,1
0.0,0.0,0.485,0.1374223232269287,0.981,1
0.0,0.0,0.478,0.13696074485778809,0.98,1
0.0,0.0,0.505,0.13968992233276367,0.971,1
0.0,0.0,0.5,0.13052988052368164,0.977,1
0.0,0.0,0.51,0.1422867774963379,0.974,1
0.0,0.0,0.514,0.14089608192443848,0.969,1
0.0,0.0,0.47,0.1165475845336914,0.972,1
0.0,0.0,0.496,0.12694072723388672,0.97,1
0.0,0.0,0.499,0.13922858238220215,0.968,1
0.0,0.0,0.481,0.14081382751464844,0.967,1
0.0,0.0,0.501,0.12792420387268066,0.977,1
0.0,0.0,0.496,0.12871146202087402,0.979,1
0.0,0.0,0.496,0.12964296340942383,0.958,1
0.0,0.0,0.51,0.12736177444458008,0.969,1
0.0,0.0,0.514,0.14032721519470215,0.973,1
0.0,0.0,0.495,0.12743830680847168,0.965,1
0.0,0.0,0.485,0.11960935592651367,0.971,1
0.0,0.0,0.516,0.14042162895202637,0.967,1
0.0,0.0,0.506,0.13156628608703613,0.968,1
0.0,0.0,0.51,0.1444389820098877,0.961,1
0.0,0.0,0.499,0.13722014427185059,0.975,1
0.0,0.0,0.489,0.11827540397644043,0.972,1
1.0,0.0,0.51,13.673255205154419,0.408,2
0.0,0.0,0.509,0.15754055976867676,0.994,2
0.0,0.0,0.494,0.17336535453796387,0.996,2
0.0,0.0,0.49,0.16480565071105957,0.997,2
0.0,0.0,0.481,0.15563631057739258,0.996,2
0.0,0.0,0.483,0.15432953834533691,0.996,2
0.0,0.0,0.515,0.15575361251831055,0.999,2
0.0,0.0,0.486,0.1788341999053955,0.994,2
0.0,0.0,0.469,0.17963409423828125,0.997,2
0.0,0.0,0.493,0.17745685577392578,0.999,2
0.0,0.0,0.517,0.15380287170410156,0.996,2
0.0,0.0,0.473,0.18768715858459473,0.997,2
0.0,0.0,0.493,0.16406011581420898,0.995,2
0.0,0.0,0.495,0.1621692180633545,1.0,2
0.0,0.0,0.475,0.17123985290527344,0.996,2
0.0,0.0,0.485,0.1740095615386963,0.996,2
0.0,0.0,0.501,0.1634223461151123,0.993,2
0.0,0.0,0.478,0.1606907844543457,0.992,2
0.0,0.0,0.503,0.1606297492980957,0.999,2
0.0,0.0,0.501,0.1723778247833252,0.997,2
0.0,0.0,0.51,0.17904114723205566,0.995,2
0.0,0.0,0.472,0.19760394096374512,0.997,2
0.0,0.0,0.491,0.16841793060302734,0.997,2
0.0,0.0,0.479,0.16453862190246582,0.994,2
0.0,0.0,0.497,0.16168856620788574,0.992,2
0.0,0.0,0.504,0.15996694564819336,0.996,2
0.0,0.0,0.506,0.15928101539611816,0.998,2
0.0,0.0,0.499,0.16097402572631836,0.995,2
0.0,0.0,0.507,0.1513354778289795,0.995,2
0.0,0.0,0.488,0.15243220329284668,0.998,2
0.0,0.0,0.49,0.18796110153198242,0.999,2
0.0,0.0,0.521,0.14960646629333496,0.995,2
0.0,0.0,0.504,0.15145111083984375,0.998,2
0.0,0.0,0.478,0.15202569961547852,0.992,2
0.0,0.0,0.512,0.16945123672485352,0.999,2
0.0,0.0,0.461,0.15765929222106934,0.996,2
0.0,0.0,0.499,0.1619720458984375,0.999,2
0.0,0.0,0.483,0.15212726593017578,0.996,2
0.0,0.0,0.504,0.16163158416748047,0.998,2
0.0,0.0,0.493,0.16021060943603516,0.996,2
0.0,0.0,0.501,0.15031766891479492,0.996,2
0.0,0.0,0.522,0.16491436958312988,0.997,2
0.0,0.0,0.517,0.15887880325317383,0.999,2
0.0,0.0,0.493,0.14909934997558594,0.999,2
0.0,0.0,0.48,0.19060325622558594,0.997,2
0.0,0.0,0.465,0.15897297859191895,0.998,2
0.0,0.0,0.488,0.14440131187438965,0.996,2
0.0,0.0,0.517,0.14225268363952637,0.998,2
0.0,0.0,0.499,0.14400744438171387,0.998,2
0.0,0.0,0.515,0.13924145698547363,0.996,2
0.0,0.0,0.506,0.13924956321716309,0.998,2
0.0,0.0,0.477,0.14186644554138184,0.995,2
0.0,0.0,0.536,0.14290189743041992,0.994,2
0.0,0.0,0.48,0.13746380805969238,0.997,2
0.0,0.0,0.509,0.13941264152526855,0.996,2
0.0,0.0,0.503,0.1444551944732666,0.997,2
0.0,0.0,0.513,0.14298462867736816,0.999,2
0.0,0.0,0.501,0.14341330528259277,0.998,2
0.0,0.0,0.491,0.14065122604370117,1.0,2
0.0,0.0,0.489,0.13499164581298828,0.997,2
0.0,0.0,0.486,0.13012051582336426,0.997,2
0.0,0.0,0.519,0.1398928165435791,0.994,2
0.0,0.0,0.488,0.12984538078308105,0.995,2
0.0,0.0,0.487,0.1396167278289795,0.996,2
0.0,0.0,0.521,0.14142370223999023,0.996,2
0.0,0.0,0.48,0.14095139503479004,0.999,2
0.0,0.0,0.514,0.1258227825164795,1.0,2
0.0,0.0,0.482,0.12831664085388184,0.996,2
0.0,0.0,0.477,0.14275193214416504,0.994,2
0.0,0.0,0.491,0.14299249649047852,0.997,2
0.0,0.0,0.508,0.14262080192565918,0.996,2
0.0,0.0,0.502,0.14185404777526855,0.998,2
0.0,0.0,0.491,0.14200878143310547,0.997,2
0.0,0.0,0.482,0.14098215103149414,0.995,2
0.0,0.0,0.509,0.1409010887145996,0.993,2
0.0,0.0,0.517,0.14032196998596191,0.999,2
0.0,0.0,0.48,0.12722563743591309,0.995,2
0.0,0.0,0.52,0.14693617820739746,0.997,2
0.0,0.0,0.482,0.1435234546661377,0.992,2
0.0,0.0,0.516,0.15519404411315918,0.994,2
0.0,0.0,0.514,0.14117693901062012,0.994,2
0.0,0.0,0.496,0.1423490047454834,0.999,2
0.0,0.0,0.469,0.14078068733215332,0.999,2
0.0,0.0,0.502,0.13168716430664062,1.0,2
0.0,0.0,0.505,0.14059042930603027,0.994,2
0.0,0.0,0.499,0.14126348495483398,0.996,2
0.0,0.0,0.514,0.14116263389587402,0.996,2
0.0,0.0,0.513,0.13994288444519043,0.998,2
0.0,0.0,0.489,0.14196014404296875,1.0,2
0.0,0.0,0.509,0.14041948318481445,0.997,2
0.0,0.0,0.505,0.13890981674194336,0.997,2
0.0,0.0,0.485,0.13926386833190918,0.997,2
0.0,0.0,0.499,0.1420745849609375,0.995,2
0.0,0.0,0.486,0.14044690132141113,0.994,2
0.0,0.0,0.514,0.14117217063903809,0.998,2
0.0,0.0,0.49,0.14107108116149902,0.999,2
0.0,0.0,0.501,0.1551675796508789,0.996,2
0.0,0.0,0.502,0.14286589622497559,0.998,2
0.0,0.0,0.5,0.1397092342376709,0.996,2
0.0,0.0,0.479,0.13965320587158203,0.999,2
