drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.6531505346564187,0.09095048904418945,0.963,1
0.0,0.0,0.678331889121613,0.09788966178894043,0.965,1
0.0,0.0,0.8114868029128884,0.08940577507019043,0.963,1
0.0,0.0,0.24858335400595455,0.08566427230834961,0.971,1
0.0,0.0,0.5512910168318191,0.08473443984985352,0.966,1
0.0,0.0,0.6503641098143136,0.07829070091247559,0.977,1
0.0,0.0,0.6381868130376132,0.07671046257019043,0.969,1
0.0,0.0,0.32084313541098175,0.07858753204345703,0.975,1
0.0,0.0,0.5186467946083104,0.07367801666259766,0.968,1
0.0,0.0,0.2671945574662271,0.07343292236328125,0.965,1
0.0,0.0,0.18089531994306318,0.08714699745178223,0.972,1
0.0,0.0,0.14219217686488628,0.08976054191589355,0.971,1
0.0,0.0,0.4321680584711117,0.08988666534423828,0.977,1
0.0,0.0,0.27198629647355965,0.09217977523803711,0.974,1
0.0,0.0,0.6672619395380819,0.09311985969543457,0.969,1
0.0,0.0,0.3149393132556254,0.08566999435424805,0.972,1
0.0,0.0,0.7054502728006291,0.07594561576843262,0.958,1
0.0,0.0,0.5559623731211241,0.0761728286743164,0.979,1
0.0,0.0,0.3174002309106727,0.08532834053039551,0.968,1
0.0,0.0,0.2164733189858946,0.08811068534851074,0.982,1
0.0,0.0,0.7790912634794472,0.07708358764648438,0.956,1
0.0,0.0,0.20872272706219575,0.07480812072753906,0.966,1
0.0,0.0,0.6085688046975416,0.07627129554748535,0.964,1
0.0,0.0,0.2340221189069862,0.08382654190063477,0.971,1
0.0,0.0,0.8724753952062071,0.061618804931640625,0.961,1
0.0,0.0,0.703904846850985,0.07304167747497559,0.958,1
0.0,0.0,0.49963290085622714,0.07111573219299316,0.968,1
0.0,0.0,0.7319426880661426,0.08617234230041504,0.963,1
0.0,0.0,0.7176706190314871,0.0846703052520752,0.966,1
0.0,0.0,0.7352357410645076,0.07702255249023438,0.96,1
0.0,0.0,0.5802748733758669,0.08881664276123047,0.963,1
0.0,0.0,0.7392258938162701,0.06429386138916016,0.975,1
0.0,0.0,0.7818842194142664,0.0719461441040039,0.977,1
0.0,0.0,0.2563245169715308,0.07301044464111328,0.971,1
0.0,0.0,0.3764224148670454,0.07315850257873535,0.971,1
0.0,0.0,0.6794073975289604,0.07285857200622559,0.958,1
0.0,0.0,0.19937738791084114,0.07426238059997559,0.978,1
0.0,0.0,0.48143014873541856,0.07282066345214844,0.978,1
0.0,0.0,0.5698137251320784,0.07491469383239746,0.968,1
0.0,0.0,0.48742367052318614,0.08668875694274902,0.971,1
0.0,0.0,0.5355518914684839,0.07568097114562988,0.961,1
0.0,0.0,0.28701092999857203,0.07563281059265137,0.972,1
0.0,0.0,0.8573177252386865,0.07382535934448242,0.961,1
0.0,0.0,0.32103206676614604,0.07450604438781738,0.965,1
0.0,0.0,0.719201938441379,0.07368230819702148,0.964,1
0.0,0.0,0.22907792161382,0.0727841854095459,0.975,1
1.0,1.0,0.3574243391705487,0.4819967746734619,0.972,1
0.0,0.0,0.5208757681022396,0.07213950157165527,0.98,1
0.0,0.0,0.4782222693550252,0.08682060241699219,0.981,1
1.0,1.0,0.7171957071284282,0.5358607769012451,0.974,1
0.0,0.0,0.8139430741518392,0.07368683815002441,0.979,1
0.0,0.0,0.17134280125649137,0.08301401138305664,0.985,1
0.0,0.0,0.4373451577351152,0.07481884956359863,0.978,1
0.0,0.0,0.7195078710217204,0.07470846176147461,0.98,1
0.0,0.0,0.14628030595683517,0.07178235054016113,0.986,1
0.0,0.0,0.7720569862988289,0.07246565818786621,0.99,1
0.0,0.0,0.4960284079939936,0.07334232330322266,0.986,1
1.0,1.0,0.44803851609108325,0.5088961124420166,0.985,1
