drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.494,0.07301449775695801,0.98,1
0.0,0.0,0.463,0.07448387145996094,0.973,1
0.0,0.0,0.518,0.07536625862121582,0.975,1
0.0,0.0,0.514,0.07369709014892578,0.973,1
0.0,0.0,0.509,0.07367610931396484,0.967,1
0.0,0.0,0.499,0.07410478591918945,0.976,1
0.0,0.0,0.498,0.07329559326171875,0.975,1
0.0,0.0,0.498,0.10877656936645508,0.967,1
0.0,0.0,0.5,0.07140135765075684,0.959,1
0.0,0.0,0.486,0.0848245620727539,0.972,1
1.0,1.0,0.479,0.473630428314209,0.967,1
0.0,0.0,0.496,0.06301379203796387,0.985,1
0.0,0.0,0.533,0.07249808311462402,0.977,1
1.0,1.0,0.492,0.4638698101043701,0.985,1
0.0,0.0,0.519,0.08021855354309082,0.984,1
0.0,0.0,0.464,0.07789826393127441,0.984,1
0.0,0.0,0.499,0.07289433479309082,0.981,1
0.0,0.0,0.475,0.07384490966796875,0.98,1
0.0,0.0,0.499,0.07292985916137695,0.982,1
0.0,0.0,0.498,0.0734705924987793,0.986,1
0.0,0.0,0.516,0.07263636589050293,0.983,1
0.0,0.0,0.523,0.07263064384460449,0.981,1
0.0,0.0,0.503,0.07111644744873047,0.976,1
0.0,0.0,0.523,0.07232952117919922,0.983,1
0.0,0.0,0.503,0.06215023994445801,0.976,1
0.0,0.0,0.524,0.07322263717651367,0.978,1
0.0,0.0,0.48,0.07505965232849121,0.982,1
0.0,0.0,0.491,0.07201576232910156,0.986,1
0.0,0.0,0.489,0.07108926773071289,0.977,1
0.0,0.0,0.489,0.06056618690490723,0.977,1
0.0,0.0,0.499,0.07162332534790039,0.982,1
0.0,0.0,0.508,0.06043815612792969,0.977,1
0.0,0.0,0.484,0.061522483825683594,0.984,1
1.0,1.0,0.494,0.446364164352417,0.98,1
0.0,0.0,0.495,0.07236385345458984,0.981,1
0.0,0.0,0.516,0.07074832916259766,0.982,1
0.0,0.0,0.514,0.07629227638244629,0.984,1
0.0,0.0,0.491,0.07355475425720215,0.984,1
1.0,1.0,0.518,0.435549259185791,0.978,1
0.0,0.0,0.494,0.059992074966430664,0.978,1
0.0,0.0,0.514,0.07107019424438477,0.98,1
0.0,0.0,0.509,0.0736086368560791,0.99,1
0.0,0.0,0.492,0.07095909118652344,0.979,1
0.0,0.0,0.511,0.0840444564819336,0.977,1
0.0,0.0,0.496,0.07298636436462402,0.986,1
0.0,0.0,0.525,0.0731964111328125,0.978,1
0.0,0.0,0.457,0.07347726821899414,0.983,1
0.0,0.0,0.518,0.07248520851135254,0.987,1
0.0,0.0,0.519,0.07213997840881348,0.972,1
0.0,0.0,0.498,0.0736083984375,0.98,1
0.0,0.0,0.481,0.07882380485534668,0.98,1
0.0,0.0,0.483,0.07332563400268555,0.989,1
0.0,0.0,0.484,0.060735225677490234,0.981,1
0.0,0.0,0.48,0.07073163986206055,0.982,1
0.0,0.0,0.499,0.07222104072570801,0.98,1
0.0,0.0,0.529,0.0711507797241211,0.976,1
0.0,0.0,0.496,0.07314777374267578,0.977,1
0.0,0.0,0.5,0.07269954681396484,0.982,1
0.0,0.0,0.483,0.07419252395629883,0.984,1
0.0,0.0,0.502,0.07062482833862305,0.98,1
0.0,0.0,0.519,0.07320713996887207,0.986,1
0.0,0.0,0.518,0.07393264770507812,0.985,1
0.0,0.0,0.488,0.07229471206665039,0.984,1
0.0,0.0,0.488,0.07085680961608887,0.983,1
0.0,0.0,0.51,0.061037302017211914,0.974,1
0.0,0.0,0.506,0.07215619087219238,0.977,1
0.0,0.0,0.506,0.07095074653625488,0.985,1
0.0,0.0,0.508,0.07314276695251465,0.976,1
0.0,0.0,0.524,0.07340788841247559,0.983,1
0.0,0.0,0.497,0.060541629791259766,0.98,1
0.0,0.0,0.488,0.07104277610778809,0.987,1
0.0,0.0,0.477,0.07173752784729004,0.977,1
0.0,0.0,0.516,0.07126164436340332,0.987,1
0.0,0.0,0.484,0.07240891456604004,0.981,1
1.0,1.0,0.496,0.4253566265106201,0.985,1
0.0,0.0,0.508,0.0700991153717041,0.984,1
0.0,0.0,0.505,0.07285666465759277,0.982,1
0.0,0.0,0.478,0.07257294654846191,0.983,1
