drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.49,0.2520298957824707,0.974,1
0.0,0.0,0.499,0.2502269744873047,0.97,1
0.0,0.0,0.494,0.24845170974731445,0.963,1
0.0,0.0,0.478,0.24985861778259277,0.961,1
0.0,0.0,0.499,0.22502970695495605,0.978,1
0.0,0.0,0.475,0.23279309272766113,0.977,1
0.0,0.0,0.498,0.22101211547851562,0.977,1
0.0,0.0,0.501,0.21273493766784668,0.967,1
0.0,0.0,0.509,0.23389720916748047,0.97,1
0.0,0.0,0.482,0.2154216766357422,0.972,1
0.0,0.0,0.493,0.25156211853027344,0.969,1
0.0,0.0,0.492,0.23162484169006348,0.961,1
0.0,0.0,0.511,0.20806598663330078,0.97,1
0.0,0.0,0.534,0.2186422348022461,0.963,1
0.0,0.0,0.51,0.23792171478271484,0.971,1
0.0,0.0,0.493,0.2538177967071533,0.969,1
0.0,0.0,0.482,0.2253398895263672,0.968,1
0.0,0.0,0.527,0.2061316967010498,0.979,1
0.0,0.0,0.485,0.21324706077575684,0.97,1
0.0,0.0,0.529,0.24399805068969727,0.971,1
0.0,0.0,0.501,0.2547276020050049,0.977,1
0.0,0.0,0.506,0.23231840133666992,0.973,1
0.0,0.0,0.544,0.23817825317382812,0.967,1
0.0,0.0,0.502,0.25388240814208984,0.964,1
0.0,0.0,0.502,0.218214750289917,0.975,1
0.0,0.0,0.496,0.25562286376953125,0.975,1
0.0,0.0,0.462,0.22462987899780273,0.963,1
0.0,0.0,0.511,0.2488083839416504,0.967,1
0.0,0.0,0.504,0.25249671936035156,0.967,1
0.0,0.0,0.509,0.20314502716064453,0.978,1
0.0,0.0,0.493,0.2110450267791748,0.983,1
0.0,0.0,0.509,0.25489211082458496,0.97,1
0.0,0.0,0.486,0.21396207809448242,0.969,1
0.0,0.0,0.517,0.22708582878112793,0.97,1
0.0,0.0,0.5,0.26799464225769043,0.977,1
0.0,0.0,0.498,0.262225866317749,0.964,1
0.0,0.0,0.481,0.25370049476623535,0.965,1
0.0,0.0,0.526,0.2563016414642334,0.973,1
0.0,0.0,0.521,0.23724102973937988,0.968,1
0.0,0.0,0.499,0.23829436302185059,0.964,1
0.0,0.0,0.478,0.2203662395477295,0.98,1
0.0,0.0,0.51,0.24628829956054688,0.979,1
0.0,0.0,0.517,0.25560903549194336,0.972,1
0.0,0.0,0.472,0.20653724670410156,0.962,1
0.0,0.0,0.509,0.23322105407714844,0.969,1
0.0,0.0,0.51,0.2268533706665039,0.966,1
0.0,0.0,0.506,0.23006343841552734,0.973,1
0.0,0.0,0.468,0.19597792625427246,0.974,1
0.0,0.0,0.497,0.2085249423980713,0.965,1
0.0,0.0,0.489,0.2726755142211914,0.971,1
0.0,0.0,0.495,0.20027947425842285,0.965,1
0.0,0.0,0.47,0.22295761108398438,0.967,1
0.0,0.0,0.507,0.20414471626281738,0.967,1
0.0,0.0,0.492,0.23317265510559082,0.982,1
0.0,0.0,0.512,0.2096717357635498,0.973,1
0.0,0.0,0.521,0.25709962844848633,0.966,1
0.0,0.0,0.486,0.2527596950531006,0.971,1
0.0,0.0,0.502,0.22731947898864746,0.968,1
0.0,0.0,0.497,0.21384167671203613,0.966,1
0.0,0.0,0.515,0.22707462310791016,0.974,1
0.0,0.0,0.508,0.21931838989257812,0.973,1
0.0,0.0,0.511,0.2231149673461914,0.968,1
0.0,0.0,0.506,0.23855924606323242,0.969,1
0.0,0.0,0.508,0.24068522453308105,0.968,1
0.0,0.0,0.477,0.22846651077270508,0.972,1
0.0,0.0,0.513,0.22595000267028809,0.968,1
0.0,0.0,0.506,0.21416521072387695,0.963,1
0.0,0.0,0.511,0.24051380157470703,0.967,1
0.0,0.0,0.471,0.23482728004455566,0.967,1
0.0,0.0,0.518,0.22284293174743652,0.969,1
0.0,0.0,0.497,0.2380225658416748,0.979,1
0.0,0.0,0.521,0.2380967140197754,0.967,1
0.0,0.0,0.502,0.24846863746643066,0.968,1
0.0,0.0,0.52,0.2291574478149414,0.973,1
0.0,0.0,0.491,0.23246407508850098,0.964,1
0.0,0.0,0.512,0.23478341102600098,0.978,1
0.0,0.0,0.503,0.23386073112487793,0.973,1
0.0,0.0,0.501,0.2272484302520752,0.98,1
0.0,0.0,0.483,0.21563959121704102,0.966,1
0.0,0.0,0.503,0.24132442474365234,0.982,1
0.0,0.0,0.494,0.23914074897766113,0.974,1
0.0,0.0,0.493,0.20740604400634766,0.97,1
0.0,0.0,0.511,0.21131038665771484,0.969,1
0.0,0.0,0.49,0.20890426635742188,0.98,1
0.0,0.0,0.49,0.24127960205078125,0.973,1
0.0,0.0,0.491,0.249985933303833,0.975,1
0.0,0.0,0.52,0.23156118392944336,0.961,1
0.0,0.0,0.491,0.30747556686401367,0.967,1
0.0,0.0,0.484,0.22812795639038086,0.966,1
0.0,0.0,0.49,0.22643828392028809,0.968,1
0.0,0.0,0.519,0.2600116729736328,0.977,1
0.0,0.0,0.498,0.26952672004699707,0.971,1
0.0,0.0,0.491,0.2367079257965088,0.963,1
0.0,0.0,0.517,0.24724602699279785,0.968,1
0.0,0.0,0.494,0.20814943313598633,0.97,1
0.0,0.0,0.5,0.2356257438659668,0.971,1
0.0,0.0,0.506,0.24028825759887695,0.969,1
0.0,0.0,0.508,0.22946667671203613,0.964,1
0.0,0.0,0.513,0.2109694480895996,0.976,1
0.0,0.0,0.51,0.22445893287658691,0.972,1
1.0,0.0,0.496,0.6975836753845215,0.366,2
0.0,0.0,0.49,0.20215964317321777,0.997,2
0.0,0.0,0.509,0.24719023704528809,0.995,2
0.0,0.0,0.484,0.22461533546447754,0.998,2
0.0,0.0,0.5,0.2219984531402588,0.996,2
0.0,0.0,0.511,0.26238322257995605,0.996,2
0.0,0.0,0.545,0.26575732231140137,0.992,2
0.0,0.0,0.48,0.23935341835021973,0.992,2
