drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.485,0.07487273216247559,0.969,1
0.0,0.0,0.5,0.07539558410644531,0.974,1
0.0,0.0,0.507,0.07643818855285645,0.959,1
0.0,0.0,0.485,0.07500839233398438,0.981,1
0.0,0.0,0.488,0.07523202896118164,0.971,1
0.0,0.0,0.492,0.07625222206115723,0.973,1
0.0,0.0,0.502,0.07467317581176758,0.967,1
0.0,0.0,0.518,0.07735133171081543,0.975,1
0.0,0.0,0.513,0.07579851150512695,0.969,1
0.0,0.0,0.49,0.06818294525146484,0.964,1
0.0,0.0,0.501,0.07466554641723633,0.971,1
0.0,0.0,0.499,0.07718157768249512,0.967,1
0.0,0.0,0.489,0.07721495628356934,0.969,1
0.0,0.0,0.537,0.07597231864929199,0.967,1
0.0,0.0,0.502,0.07632279396057129,0.973,1
0.0,0.0,0.478,0.07780027389526367,0.977,1
0.0,0.0,0.507,0.07614302635192871,0.971,1
0.0,0.0,0.504,0.06403541564941406,0.968,1
0.0,0.0,0.476,0.07375788688659668,0.972,1
0.0,0.0,0.516,0.07402968406677246,0.963,1
0.0,0.0,0.508,0.07578396797180176,0.966,1
0.0,0.0,0.493,0.07483267784118652,0.975,1
0.0,0.0,0.511,0.0747990608215332,0.965,1
0.0,0.0,0.523,0.07612347602844238,0.974,1
0.0,0.0,0.487,0.07670831680297852,0.975,1
0.0,0.0,0.49,0.07379794120788574,0.977,1
0.0,0.0,0.51,0.07166600227355957,0.971,1
0.0,0.0,0.493,0.08616995811462402,0.968,1
0.0,0.0,0.505,0.07322049140930176,0.96,1
0.0,0.0,0.493,0.07413053512573242,0.978,1
0.0,0.0,0.521,0.07498288154602051,0.981,1
0.0,0.0,0.486,0.07468152046203613,0.967,1
0.0,0.0,0.487,0.07502269744873047,0.97,1
0.0,0.0,0.51,0.07385849952697754,0.97,1
0.0,0.0,0.504,0.07451128959655762,0.967,1
0.0,0.0,0.522,0.07594466209411621,0.971,1
0.0,0.0,0.484,0.07478547096252441,0.967,1
0.0,0.0,0.499,0.07479143142700195,0.975,1
0.0,0.0,0.488,0.08733057975769043,0.968,1
0.0,0.0,0.509,0.07965469360351562,0.962,1
0.0,0.0,0.522,0.07555484771728516,0.972,1
0.0,0.0,0.506,0.07663559913635254,0.968,1
0.0,0.0,0.524,0.07464909553527832,0.948,1
