drifs_detected,false_alarms,class_distribution,time (s),classification,context
1.0,1.0,0.6213811463727917,0.4203031063079834,0.972,1
1.0,1.0,0.4665202577981251,0.5079443454742432,0.973,1
1.0,1.0,0.6266903224065267,0.5252983570098877,0.978,1
0.0,0.0,0.6652019174436283,0.06982159614562988,0.985,1
0.0,0.0,0.6475973374715069,0.0697319507598877,0.983,1
1.0,1.0,0.8040642583089618,0.3655686378479004,0.987,1
1.0,1.0,0.1292395357164966,0.4012150764465332,0.977,1
1.0,1.0,0.8607677361826509,0.37781786918640137,0.927,1
1.0,1.0,0.347581484263377,0.4834291934967041,0.959,1
1.0,1.0,0.2324886810647665,0.35498619079589844,0.995,1
1.0,1.0,0.14205348050160638,0.38708019256591797,0.99,1
1.0,1.0,0.8085099758988269,0.3864150047302246,0.933,1
1.0,1.0,0.6772078700757937,0.341052770614624,0.987,1
0.0,0.0,0.6634940056903246,0.1733088493347168,0.98,1
1.0,1.0,0.2154396753037403,0.3427867889404297,0.982,1
1.0,1.0,0.6696887447366343,0.42562365531921387,0.968,1
1.0,1.0,0.731938572256148,0.4650583267211914,0.988,1
1.0,1.0,0.4972845113873694,0.3381650447845459,0.979,1
1.0,1.0,0.1208609191186214,0.4672982692718506,0.976,1
1.0,1.0,0.5397951012181504,0.33785414695739746,0.96,1
1.0,1.0,0.4293070620974412,0.4147040843963623,0.983,1
1.0,1.0,0.5751516363378945,0.45575618743896484,0.982,1
1.0,1.0,0.7541611402925165,0.4725527763366699,0.987,1
1.0,1.0,0.6591433431675051,0.37598085403442383,0.982,1
1.0,1.0,0.1523517880598828,0.44983673095703125,0.985,1
1.0,1.0,0.30136620518852353,0.4273366928100586,0.973,1
1.0,1.0,0.7733190470898422,0.3406832218170166,0.984,1
1.0,1.0,0.5879670329785023,0.4707798957824707,0.976,1
1.0,1.0,0.8114510510658108,0.4343750476837158,0.981,1
1.0,1.0,0.16390030813758683,0.38384127616882324,0.96,1
1.0,1.0,0.662132588347838,0.44864678382873535,0.949,1
1.0,1.0,0.23861842087829233,0.33936214447021484,0.984,1
1.0,1.0,0.11054498134243007,0.3601977825164795,0.991,1
1.0,1.0,0.6358046565814143,0.3586289882659912,0.964,1
0.0,0.0,0.6064204047176688,0.09138727188110352,0.986,1
1.0,1.0,0.798021701252215,0.41667914390563965,0.985,1
1.0,1.0,0.11981502048036574,0.37694501876831055,0.978,1
1.0,1.0,0.7641280936799927,0.4461679458618164,0.955,1
1.0,1.0,0.6602803850395458,0.46978092193603516,0.988,1
1.0,1.0,0.39465424824036377,0.3403322696685791,0.983,1
1.0,1.0,0.6125343075676929,0.48651790618896484,0.98,1
1.0,1.0,0.7593980020718946,0.4179408550262451,0.986,1
0.0,0.0,0.8021677432632902,0.06686806678771973,0.974,1
1.0,1.0,0.22516575113986137,0.36989259719848633,0.985,1
1.0,1.0,0.8323604098754923,0.4080393314361572,0.969,1
1.0,1.0,0.6904059909828747,0.49607300758361816,0.971,1
1.0,1.0,0.12263188483212029,0.333540678024292,0.985,1
1.0,1.0,0.369035887430029,0.48192572593688965,0.974,1
1.0,1.0,0.5837887836015986,0.39163827896118164,0.981,1
1.0,1.0,0.31708564560988806,0.39159703254699707,0.987,1
1.0,1.0,0.7841521066960782,0.3470938205718994,0.969,1
1.0,1.0,0.27190252012702154,0.45917463302612305,0.971,1
1.0,1.0,0.4376209234401276,0.43946075439453125,0.974,1
0.0,0.0,0.3951997584477984,0.09352827072143555,0.982,1
0.0,0.0,0.5110855017589961,0.08716082572937012,0.975,1
1.0,1.0,0.5346624826848472,0.3678774833679199,0.979,1
1.0,1.0,0.7051191116898059,0.45195913314819336,0.983,1
1.0,1.0,0.22567373952547642,0.4540286064147949,0.987,1
0.0,0.0,0.15731200121503897,0.09257745742797852,0.983,1
1.0,1.0,0.5829712143041367,0.3724830150604248,0.974,1
1.0,1.0,0.8218790409738149,0.49301838874816895,0.984,1
1.0,1.0,0.26072740664154825,0.41347432136535645,0.966,1
1.0,1.0,0.15212293282434208,0.441162109375,0.989,1
1.0,1.0,0.5661794437579748,0.44181156158447266,0.95,1
1.0,1.0,0.4654357588893525,0.44793152809143066,0.985,1
1.0,1.0,0.6895388664687329,0.3828451633453369,0.981,1
0.0,0.0,0.7222013272200877,0.17301678657531738,0.98,1
1.0,1.0,0.8169152521514664,0.33504343032836914,0.967,1
1.0,1.0,0.41295838174375854,0.33362269401550293,0.974,1
1.0,1.0,0.29190757808913614,0.4840388298034668,0.986,1
1.0,1.0,0.6456787871809305,0.4689667224884033,0.973,1
1.0,1.0,0.4191193296847443,0.481719970703125,0.98,1
0.0,0.0,0.4366167288350652,0.06753778457641602,0.984,1
1.0,1.0,0.2614898830426632,0.36161351203918457,0.982,1
1.0,1.0,0.7205534852102747,0.3623051643371582,0.971,1
0.0,0.0,0.7628617899534886,0.09087157249450684,0.977,1
0.0,0.0,0.7709810729541522,0.09613966941833496,0.981,1
