drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.515,0.192901611328125,0.973,1
0.0,0.0,0.494,0.09229898452758789,0.974,1
0.0,0.0,0.482,0.06765604019165039,0.966,1
0.0,0.0,0.5,0.09234142303466797,0.967,1
0.0,0.0,0.506,0.06810116767883301,0.965,1
0.0,0.0,0.482,0.06856703758239746,0.963,1
0.0,0.0,0.494,0.08790993690490723,0.974,1
0.0,0.0,0.528,0.06769967079162598,0.974,1
0.0,0.0,0.511,0.0667731761932373,0.974,1
0.0,0.0,0.491,0.06809258460998535,0.975,1
0.0,0.0,0.502,0.0673379898071289,0.979,1
0.0,0.0,0.462,0.06782078742980957,0.971,1
0.0,0.0,0.492,0.06769657135009766,0.972,1
0.0,0.0,0.505,0.0922551155090332,0.969,1
0.0,0.0,0.515,0.08904194831848145,0.971,1
0.0,0.0,0.501,0.09548020362854004,0.969,1
0.0,0.0,0.465,0.06866717338562012,0.979,1
0.0,0.0,0.523,0.09741377830505371,0.971,1
0.0,0.0,0.486,0.06758713722229004,0.971,1
0.0,0.0,0.495,0.06841540336608887,0.967,1
0.0,0.0,0.501,0.06805133819580078,0.978,1
0.0,0.0,0.49,0.0683448314666748,0.97,1
0.0,0.0,0.472,0.08774256706237793,0.975,1
0.0,0.0,0.511,0.0694115161895752,0.975,1
0.0,0.0,0.489,0.067718505859375,0.966,1
0.0,0.0,0.506,0.06636977195739746,0.981,1
0.0,0.0,0.486,0.06649398803710938,0.954,1
0.0,0.0,0.498,0.06713318824768066,0.974,1
0.0,0.0,0.493,0.06789326667785645,0.951,1
0.0,0.0,0.488,0.09297704696655273,0.962,1
0.0,0.0,0.49,0.06757378578186035,0.974,1
0.0,0.0,0.518,0.06640362739562988,0.971,1
0.0,0.0,0.504,0.08710718154907227,0.97,1
0.0,0.0,0.497,0.08133339881896973,0.971,1
0.0,0.0,0.506,0.06879973411560059,0.976,1
0.0,0.0,0.503,0.1049501895904541,0.963,1
0.0,0.0,0.514,0.06977653503417969,0.97,1
0.0,0.0,0.49,0.06725788116455078,0.972,1
0.0,0.0,0.526,0.06747198104858398,0.969,1
0.0,0.0,0.51,0.06781983375549316,0.967,1
0.0,0.0,0.522,0.09092116355895996,0.98,1
0.0,0.0,0.486,0.06958484649658203,0.969,1
0.0,0.0,0.517,0.06757998466491699,0.976,1
0.0,0.0,0.517,0.0937197208404541,0.969,1
0.0,0.0,0.52,0.08695769309997559,0.973,1
0.0,0.0,0.482,0.06743288040161133,0.973,1
0.0,0.0,0.516,0.09001636505126953,0.974,1
0.0,0.0,0.485,0.0686025619506836,0.973,1
0.0,0.0,0.505,0.06773233413696289,0.971,1
0.0,0.0,0.497,0.06730914115905762,0.975,1
0.0,0.0,0.506,0.06720113754272461,0.975,1
0.0,0.0,0.525,0.0673520565032959,0.97,1
0.0,0.0,0.498,0.091644287109375,0.967,1
0.0,0.0,0.514,0.06803154945373535,0.969,1
0.0,0.0,0.479,0.06791305541992188,0.97,1
0.0,0.0,0.503,0.0686337947845459,0.972,1
0.0,0.0,0.485,0.06824016571044922,0.958,1
0.0,0.0,0.504,0.07033109664916992,0.97,1
0.0,0.0,0.511,0.0672144889831543,0.974,1
0.0,0.0,0.51,0.06738853454589844,0.975,1
0.0,0.0,0.489,0.09768033027648926,0.963,1
0.0,0.0,0.476,0.06854033470153809,0.975,1
0.0,0.0,0.501,0.06862854957580566,0.97,1
0.0,0.0,0.499,0.06867170333862305,0.974,1
0.0,0.0,0.49,0.06801056861877441,0.974,1
0.0,0.0,0.494,0.06804823875427246,0.97,1
0.0,0.0,0.52,0.06942987442016602,0.966,1
0.0,0.0,0.492,0.06861996650695801,0.963,1
0.0,0.0,0.511,0.06899023056030273,0.968,1
0.0,0.0,0.524,0.06808185577392578,0.973,1
0.0,0.0,0.502,0.0676259994506836,0.969,1
0.0,0.0,0.496,0.09599590301513672,0.965,1
0.0,0.0,0.491,0.06941008567810059,0.96,1
0.0,0.0,0.509,0.06811070442199707,0.974,1
0.0,0.0,0.498,0.09479618072509766,0.965,1
0.0,0.0,0.509,0.10143542289733887,0.971,1
0.0,0.0,0.513,0.09172892570495605,0.979,1
0.0,0.0,0.476,0.0690767765045166,0.969,1
0.0,0.0,0.496,0.0987386703491211,0.972,1
0.0,0.0,0.498,0.06893777847290039,0.975,1
0.0,0.0,0.509,0.06780481338500977,0.965,1
0.0,0.0,0.508,0.06752204895019531,0.968,1
0.0,0.0,0.507,0.06722211837768555,0.979,1
0.0,0.0,0.478,0.09295439720153809,0.971,1
0.0,0.0,0.516,0.06719613075256348,0.971,1
0.0,0.0,0.522,0.09137940406799316,0.972,1
0.0,0.0,0.513,0.08803915977478027,0.976,1
0.0,0.0,0.503,0.06740927696228027,0.98,1
0.0,0.0,0.489,0.06706118583679199,0.973,1
0.0,0.0,0.526,0.100860595703125,0.962,1
0.0,0.0,0.513,0.0680549144744873,0.965,1
0.0,0.0,0.483,0.0937199592590332,0.971,1
0.0,0.0,0.523,0.086883544921875,0.978,1
0.0,0.0,0.492,0.06850767135620117,0.972,1
0.0,0.0,0.525,0.06632661819458008,0.967,1
0.0,0.0,0.523,0.09656262397766113,0.969,1
0.0,0.0,0.488,0.08831524848937988,0.969,1
0.0,0.0,0.495,0.06878447532653809,0.975,1
0.0,0.0,0.474,0.06777644157409668,0.978,1
0.0,0.0,0.479,0.0679478645324707,0.969,1
1.0,0.0,0.505,0.3423314094543457,0.433,2
0.0,0.0,0.476,0.1165003776550293,0.997,2
0.0,0.0,0.496,0.06889510154724121,0.996,2
0.0,0.0,0.522,0.09096002578735352,0.998,2
0.0,0.0,0.5,0.06822848320007324,0.996,2
0.0,0.0,0.462,0.0682668685913086,0.995,2
0.0,0.0,0.511,0.09343886375427246,0.995,2
0.0,0.0,0.481,0.09564208984375,0.993,2
0.0,0.0,0.508,0.06948971748352051,0.995,2
0.0,0.0,0.493,0.06767940521240234,0.995,2
0.0,0.0,0.525,0.0949409008026123,0.992,2
0.0,0.0,0.505,0.06896257400512695,0.997,2
0.0,0.0,0.475,0.09363698959350586,0.998,2
0.0,0.0,0.477,0.06811738014221191,0.996,2
0.0,0.0,0.497,0.0687711238861084,0.995,2
0.0,0.0,0.486,0.06776690483093262,0.995,2
0.0,0.0,0.472,0.06786727905273438,0.994,2
0.0,0.0,0.502,0.06856417655944824,0.992,2
