drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.505,0.059188127517700195,1.0,1
0.0,0.0,0.445,0.05161905288696289,0.995,1
0.0,0.0,0.535,0.05568075180053711,0.995,1
0.0,0.0,0.49,0.05219149589538574,1.0,1
0.0,0.0,0.535,0.03998923301696777,0.995,1
0.0,0.0,0.455,0.04067111015319824,0.995,1
0.0,0.0,0.515,0.05312609672546387,1.0,1
0.0,0.0,0.55,0.05404949188232422,1.0,1
0.0,0.0,0.44,0.046231985092163086,0.995,1
0.0,0.0,0.51,0.05219125747680664,1.0,1
0.0,0.0,0.505,0.05364084243774414,0.995,1
0.0,0.0,0.505,0.056008100509643555,0.995,1
0.0,0.0,0.51,0.052506446838378906,0.995,1
0.0,0.0,0.525,0.0438237190246582,1.0,1
0.0,0.0,0.465,0.05212211608886719,1.0,1
0.0,0.0,0.565,0.04094290733337402,1.0,1
0.0,0.0,0.47,0.05134224891662598,1.0,1
0.0,0.0,0.52,0.05561971664428711,1.0,1
0.0,0.0,0.485,0.05414628982543945,1.0,1
0.0,0.0,0.58,0.05428814888000488,1.0,1
0.0,0.0,0.505,0.055201053619384766,0.995,1
0.0,0.0,0.55,0.05762648582458496,1.0,1
0.0,0.0,0.49,0.05734968185424805,1.0,1
0.0,0.0,0.535,0.07038688659667969,0.995,1
0.0,0.0,0.51,0.06633973121643066,0.995,1
0.0,0.0,0.515,0.059232234954833984,1.0,1
0.0,0.0,0.52,0.06546449661254883,0.995,1
0.0,0.0,0.55,0.06569480895996094,1.0,1
0.0,0.0,0.46,0.06783890724182129,0.99,1
0.0,0.0,0.515,0.05878853797912598,1.0,1
0.0,0.0,0.465,0.05315732955932617,0.995,1
0.0,0.0,0.55,0.05409669876098633,1.0,1
0.0,0.0,0.495,0.05479598045349121,0.99,1
0.0,0.0,0.595,0.05778074264526367,1.0,1
0.0,0.0,0.47,0.051506996154785156,1.0,1
0.0,0.0,0.52,0.052763938903808594,1.0,1
0.0,0.0,0.47,0.05809760093688965,1.0,1
0.0,0.0,0.465,0.05751228332519531,1.0,1
0.0,0.0,0.54,0.05798959732055664,1.0,1
0.0,0.0,0.46,0.05588722229003906,1.0,1
0.0,0.0,0.54,0.058310747146606445,0.99,1
0.0,0.0,0.53,0.05397176742553711,1.0,1
0.0,0.0,0.495,0.05623769760131836,1.0,1
0.0,0.0,0.54,0.05426383018493652,1.0,1
0.0,0.0,0.59,0.0572667121887207,1.0,1
0.0,0.0,0.495,0.0516505241394043,0.995,1
0.0,0.0,0.51,0.05173897743225098,1.0,1
0.0,0.0,0.55,0.05328774452209473,1.0,1
0.0,0.0,0.505,0.05075955390930176,0.995,1
0.0,0.0,0.47,0.05100870132446289,1.0,1
0.0,0.0,0.52,0.05273938179016113,1.0,1
0.0,0.0,0.49,0.05188274383544922,1.0,1
0.0,0.0,0.485,0.054659128189086914,1.0,1
0.0,0.0,0.485,0.05502176284790039,1.0,1
0.0,0.0,0.45,0.0579218864440918,0.995,1
0.0,0.0,0.51,0.05599689483642578,1.0,1
0.0,0.0,0.51,0.05821967124938965,1.0,1
0.0,0.0,0.46,0.05673027038574219,1.0,1
0.0,0.0,0.5,0.05352139472961426,1.0,1
0.0,0.0,0.545,0.05640268325805664,1.0,1
0.0,0.0,0.495,0.054735422134399414,1.0,1
0.0,0.0,0.51,0.044858694076538086,0.995,1
0.0,0.0,0.525,0.05470466613769531,1.0,1
0.0,0.0,0.49,0.0543818473815918,1.0,1
0.0,0.0,0.485,0.054203033447265625,1.0,1
0.0,0.0,0.495,0.05222964286804199,1.0,1
0.0,0.0,0.475,0.05310702323913574,0.995,1
0.0,0.0,0.505,0.04692673683166504,1.0,1
0.0,0.0,0.54,0.05189037322998047,1.0,1
0.0,0.0,0.46,0.054379940032958984,1.0,1
0.0,0.0,0.455,0.06065559387207031,0.995,1
0.0,0.0,0.46,0.05701947212219238,1.0,1
0.0,0.0,0.48,0.05414152145385742,0.995,1
0.0,0.0,0.49,0.05700540542602539,1.0,1
0.0,0.0,0.49,0.05553483963012695,1.0,1
0.0,0.0,0.515,0.054509639739990234,0.995,1
0.0,0.0,0.53,0.04465818405151367,1.0,1
0.0,0.0,0.47,0.052471160888671875,1.0,1
0.0,0.0,0.49,0.05243730545043945,1.0,1
0.0,0.0,0.51,0.05762004852294922,1.0,1
0.0,0.0,0.495,0.06098604202270508,0.995,1
0.0,0.0,0.45,0.06678462028503418,1.0,1
0.0,0.0,0.47,0.07390952110290527,1.0,1
0.0,0.0,0.485,0.07005929946899414,1.0,1
0.0,0.0,0.52,0.07273697853088379,0.995,1
0.0,0.0,0.49,0.05642890930175781,0.995,1
0.0,0.0,0.495,0.05312013626098633,1.0,1
0.0,0.0,0.475,0.055043697357177734,0.995,1
0.0,0.0,0.46,0.0550384521484375,0.995,1
0.0,0.0,0.51,0.05599188804626465,0.99,1
0.0,0.0,0.47,0.05611109733581543,1.0,1
0.0,0.0,0.5,0.055776357650756836,0.995,1
0.0,0.0,0.45,0.057433366775512695,1.0,1
0.0,0.0,0.475,0.05913877487182617,0.995,1
0.0,0.0,0.525,0.05133223533630371,1.0,1
0.0,0.0,0.56,0.05216813087463379,1.0,1
0.0,0.0,0.49,0.05323648452758789,1.0,1
0.0,0.0,0.455,0.05222487449645996,0.99,1
0.0,0.0,0.45,0.05317044258117676,1.0,1
0.0,0.0,0.51,0.052390098571777344,1.0,1
0.0,0.0,0.555,0.041274070739746094,0.72,2
0.0,0.0,0.535,0.05292797088623047,0.755,2
0.0,0.0,0.52,0.052918434143066406,0.76,2
0.0,0.0,0.445,0.05183219909667969,0.795,2
0.0,0.0,0.51,0.0554044246673584,0.73,2
0.0,0.0,0.44,0.052979230880737305,0.78,2
0.0,0.0,0.54,0.05319786071777344,0.755,2
0.0,0.0,0.48,0.052191734313964844,0.745,2
0.0,0.0,0.49,0.053998708724975586,0.745,2
0.0,0.0,0.485,0.05947422981262207,0.75,2
0.0,0.0,0.525,0.055809974670410156,0.74,2
0.0,0.0,0.49,0.0587000846862793,0.775,2
0.0,0.0,0.48,0.05477285385131836,0.77,2
0.0,0.0,0.47,0.05657219886779785,0.815,2
0.0,0.0,0.515,0.05569171905517578,0.77,2
0.0,0.0,0.505,0.050757408142089844,0.73,2
0.0,0.0,0.46,0.05567049980163574,0.76,2
0.0,0.0,0.475,0.05539512634277344,0.775,2
0.0,0.0,0.525,0.05577421188354492,0.805,2
0.0,0.0,0.525,0.052378177642822266,0.795,2
0.0,0.0,0.475,0.05239105224609375,0.78,2
0.0,0.0,0.545,0.054036617279052734,0.68,2
0.0,0.0,0.505,0.06431770324707031,0.78,2
0.0,0.0,0.52,0.05473208427429199,0.785,2
0.0,0.0,0.515,0.06608104705810547,0.77,2
0.0,0.0,0.49,0.06644320487976074,0.785,2
0.0,0.0,0.49,0.07483434677124023,0.73,2
0.0,0.0,0.54,0.06989049911499023,0.73,2
0.0,0.0,0.455,0.0702049732208252,0.755,2
0.0,0.0,0.54,0.06704115867614746,0.81,2
0.0,0.0,0.555,0.05526328086853027,0.755,2
0.0,0.0,0.54,0.05472683906555176,0.82,2
0.0,0.0,0.48,0.05492091178894043,0.73,2
0.0,0.0,0.475,0.07119584083557129,0.745,2
0.0,0.0,0.525,0.05555582046508789,0.805,2
0.0,0.0,0.555,0.05453944206237793,0.82,2
0.0,0.0,0.51,0.053819894790649414,0.745,2
0.0,0.0,0.53,0.053032636642456055,0.72,2
0.0,0.0,0.555,0.05947422981262207,0.79,2
0.0,0.0,0.505,0.05627179145812988,0.81,2
0.0,0.0,0.505,0.0559229850769043,0.79,2
0.0,0.0,0.505,0.054351091384887695,0.79,2
0.0,0.0,0.54,0.05318260192871094,0.79,2
0.0,0.0,0.515,0.05847525596618652,0.75,2
0.0,0.0,0.48,0.05296659469604492,0.72,2
0.0,0.0,0.52,0.04449033737182617,0.77,2
0.0,0.0,0.535,0.05335593223571777,0.755,2
0.0,0.0,0.495,0.0586092472076416,0.75,2
0.0,0.0,0.495,0.05382370948791504,0.73,2
0.0,0.0,0.485,0.055390119552612305,0.73,2
0.0,0.0,0.51,0.06770157814025879,0.715,2
0.0,0.0,0.505,0.06073284149169922,0.76,2
0.0,0.0,0.49,0.06534147262573242,0.77,2
0.0,0.0,0.485,0.05729341506958008,0.72,2
0.0,0.0,0.565,0.05660271644592285,0.755,2
0.0,0.0,0.5,0.05201911926269531,0.735,2
0.0,0.0,0.45,0.05486917495727539,0.725,2
0.0,0.0,0.53,0.058870792388916016,0.73,2
0.0,0.0,0.49,0.0557093620300293,0.675,2
0.0,0.0,0.52,0.054619789123535156,0.76,2
0.0,0.0,0.54,0.05307340621948242,0.785,2
0.0,0.0,0.5,0.054396867752075195,0.725,2
0.0,0.0,0.545,0.05341005325317383,0.775,2
0.0,0.0,0.515,0.05192065238952637,0.74,2
0.0,0.0,0.55,0.05553627014160156,0.695,2
0.0,0.0,0.565,0.05539441108703613,0.825,2
0.0,0.0,0.46,0.06583094596862793,0.72,2
0.0,0.0,0.455,0.06302642822265625,0.78,2
0.0,0.0,0.515,0.06558489799499512,0.75,2
0.0,0.0,0.49,0.06154370307922363,0.73,2
0.0,0.0,0.51,0.06853604316711426,0.785,2
0.0,0.0,0.495,0.05772137641906738,0.83,2
0.0,0.0,0.515,0.05883479118347168,0.735,2
0.0,0.0,0.52,0.054284095764160156,0.765,2
0.0,0.0,0.53,0.06009674072265625,0.795,2
0.0,0.0,0.485,0.06605219841003418,0.735,2
0.0,0.0,0.485,0.05437779426574707,0.725,2
0.0,0.0,0.545,0.07051658630371094,0.75,2
0.0,0.0,0.55,0.0572662353515625,0.76,2
0.0,0.0,0.53,0.06705951690673828,0.745,2
0.0,0.0,0.525,0.05661296844482422,0.76,2
0.0,0.0,0.445,0.05508613586425781,0.755,2
0.0,0.0,0.43,0.05428481101989746,0.77,2
0.0,0.0,0.51,0.05782175064086914,0.685,2
0.0,0.0,0.47,0.05532336235046387,0.71,2
0.0,0.0,0.47,0.057366132736206055,0.745,2
0.0,0.0,0.465,0.054909706115722656,0.715,2
0.0,0.0,0.505,0.05272531509399414,0.77,2
0.0,0.0,0.53,0.05344223976135254,0.77,2
0.0,0.0,0.535,0.054533958435058594,0.715,2
0.0,0.0,0.495,0.05458688735961914,0.75,2
0.0,0.0,0.475,0.054830074310302734,0.765,2
0.0,0.0,0.495,0.06756281852722168,0.76,2
0.0,0.0,0.565,0.05972862243652344,0.77,2
0.0,0.0,0.49,0.06790852546691895,0.785,2
0.0,0.0,0.465,0.07334256172180176,0.73,2
0.0,0.0,0.495,0.07064986228942871,0.765,2
0.0,0.0,0.535,0.056798696517944336,0.745,2
0.0,0.0,0.49,0.06074190139770508,0.75,2
0.0,0.0,0.545,0.055158138275146484,0.75,2
