drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.495,0.12021660804748535,1.0,1
0.0,0.0,0.56,0.11168599128723145,1.0,1
0.0,0.0,0.53,0.1241915225982666,1.0,1
0.0,0.0,0.455,0.12445712089538574,1.0,1
0.0,0.0,0.52,0.12018871307373047,1.0,1
0.0,0.0,0.495,0.11965584754943848,1.0,1
0.0,0.0,0.525,0.12789177894592285,1.0,1
0.0,0.0,0.5,0.12061762809753418,1.0,1
0.0,0.0,0.555,0.11266088485717773,1.0,1
0.0,0.0,0.565,0.12322330474853516,1.0,1
0.0,0.0,0.575,0.11918282508850098,1.0,1
0.0,0.0,0.495,0.11476755142211914,1.0,1
0.0,0.0,0.535,0.10174345970153809,1.0,1
0.0,0.0,0.505,0.12076091766357422,1.0,1
0.0,0.0,0.54,0.12237930297851562,1.0,1
0.0,0.0,0.475,0.27581214904785156,1.0,1
0.0,0.0,0.49,0.19963359832763672,1.0,1
0.0,0.0,0.545,0.11772370338439941,1.0,1
0.0,0.0,0.515,0.16420888900756836,1.0,1
0.0,0.0,0.55,0.2542569637298584,1.0,1
0.0,0.0,0.485,0.1471712589263916,1.0,1
0.0,0.0,0.51,0.14700984954833984,1.0,1
1.0,1.0,0.545,9.91305947303772,1.0,1
0.0,0.0,0.52,0.11808300018310547,1.0,1
0.0,0.0,0.48,0.1280043125152588,1.0,1
0.0,0.0,0.5,0.11499667167663574,1.0,1
0.0,0.0,0.495,0.12472867965698242,0.995,1
0.0,0.0,0.445,0.1256275177001953,1.0,1
0.0,0.0,0.475,0.10882306098937988,0.995,1
0.0,0.0,0.485,0.11595320701599121,1.0,1
0.0,0.0,0.53,0.1184091567993164,1.0,1
0.0,0.0,0.525,0.1079251766204834,1.0,1
0.0,0.0,0.51,0.10623741149902344,1.0,1
0.0,0.0,0.46,0.11547470092773438,1.0,1
0.0,0.0,0.555,0.11119985580444336,0.995,1
0.0,0.0,0.51,0.10801339149475098,1.0,1
0.0,0.0,0.495,0.1217343807220459,0.985,1
0.0,0.0,0.45,0.12317371368408203,1.0,1
0.0,0.0,0.455,0.12212896347045898,1.0,1
0.0,0.0,0.42,0.12175321578979492,1.0,1
0.0,0.0,0.47,0.12089705467224121,1.0,1
0.0,0.0,0.545,0.12408304214477539,0.995,1
0.0,0.0,0.51,0.11243271827697754,0.995,1
0.0,0.0,0.485,0.12613272666931152,1.0,1
0.0,0.0,0.54,0.119415283203125,1.0,1
0.0,0.0,0.43,0.1158294677734375,0.995,1
0.0,0.0,0.48,0.16390776634216309,1.0,1
0.0,0.0,0.425,0.14305472373962402,1.0,1
0.0,0.0,0.535,0.10584354400634766,0.995,1
0.0,0.0,0.48,0.12887787818908691,1.0,1
0.0,0.0,0.51,0.11069130897521973,0.995,1
0.0,0.0,0.51,0.09598731994628906,1.0,1
0.0,0.0,0.505,0.11670327186584473,1.0,1
0.0,0.0,0.5,0.11890316009521484,0.995,1
0.0,0.0,0.435,0.11079573631286621,1.0,1
0.0,0.0,0.49,0.1291489601135254,1.0,1
0.0,0.0,0.525,0.12647438049316406,1.0,1
0.0,0.0,0.495,0.09588003158569336,1.0,1
0.0,0.0,0.51,0.10699701309204102,0.995,1
0.0,0.0,0.555,0.11859464645385742,1.0,1
0.0,0.0,0.54,0.10150027275085449,1.0,1
0.0,0.0,0.485,0.11928105354309082,1.0,1
0.0,0.0,0.495,0.12077164649963379,1.0,1
0.0,0.0,0.52,0.1101694107055664,1.0,1
0.0,0.0,0.52,0.11756563186645508,1.0,1
0.0,0.0,0.535,0.12175703048706055,0.995,1
0.0,0.0,0.435,0.11029624938964844,0.995,1
0.0,0.0,0.52,0.10964584350585938,1.0,1
0.0,0.0,0.515,0.1113901138305664,0.995,1
0.0,0.0,0.505,0.12132143974304199,1.0,1
0.0,0.0,0.5,0.11210131645202637,1.0,1
0.0,0.0,0.5,0.11884164810180664,0.99,1
0.0,0.0,0.44,0.10973310470581055,0.995,1
0.0,0.0,0.485,0.11969470977783203,1.0,1
0.0,0.0,0.535,0.10858416557312012,1.0,1
0.0,0.0,0.505,0.12214446067810059,0.995,1
0.0,0.0,0.51,0.1127786636352539,0.995,1
0.0,0.0,0.51,0.10957169532775879,0.995,1
0.0,0.0,0.51,0.11763405799865723,0.995,1
0.0,0.0,0.45,0.12125849723815918,1.0,1
0.0,0.0,0.44,0.11300802230834961,1.0,1
0.0,0.0,0.61,0.11717653274536133,0.995,1
0.0,0.0,0.545,0.11945438385009766,1.0,1
0.0,0.0,0.455,0.11696648597717285,1.0,1
0.0,0.0,0.51,0.10201001167297363,1.0,1
0.0,0.0,0.51,0.10587263107299805,1.0,1
0.0,0.0,0.57,0.12212610244750977,1.0,1
0.0,0.0,0.475,0.11232852935791016,0.995,1
0.0,0.0,0.475,0.11167383193969727,1.0,1
0.0,0.0,0.5,0.12044692039489746,1.0,1
0.0,0.0,0.44,0.11824965476989746,1.0,1
0.0,0.0,0.44,0.1041860580444336,1.0,1
0.0,0.0,0.435,0.10644841194152832,1.0,1
0.0,0.0,0.475,0.12200474739074707,1.0,1
0.0,0.0,0.565,0.11342477798461914,0.995,1
0.0,0.0,0.525,0.11818647384643555,0.995,1
0.0,0.0,0.575,0.11933636665344238,0.995,1
0.0,0.0,0.495,0.11526942253112793,1.0,1
0.0,0.0,0.515,0.11230587959289551,1.0,1
0.0,0.0,0.46,0.11193561553955078,0.995,1
1.0,0.0,0.5,12.125616788864136,0.72,2
0.0,0.0,0.53,0.0995175838470459,0.965,2
0.0,0.0,0.495,0.09543609619140625,0.93,2
0.0,0.0,0.455,0.09270095825195312,0.955,2
0.0,0.0,0.575,0.11974263191223145,0.945,2
0.0,0.0,0.46,0.20923089981079102,0.885,2
0.0,0.0,0.475,0.09332656860351562,0.94,2
0.0,0.0,0.475,0.20780372619628906,0.94,2
0.0,0.0,0.49,0.09572672843933105,0.94,2
0.0,0.0,0.55,0.2098994255065918,0.955,2
0.0,0.0,0.485,0.1186838150024414,0.955,2
0.0,0.0,0.485,0.09638452529907227,0.95,2
0.0,0.0,0.49,0.21667885780334473,0.94,2
0.0,0.0,0.49,0.20692992210388184,0.955,2
0.0,0.0,0.55,0.093719482421875,0.96,2
0.0,0.0,0.54,0.09511160850524902,0.92,2
0.0,0.0,0.48,0.09564900398254395,0.98,2
0.0,0.0,0.51,0.09407830238342285,0.945,2
0.0,0.0,0.545,0.2138967514038086,0.945,2
0.0,0.0,0.52,0.21579861640930176,0.93,2
0.0,0.0,0.47,0.09687137603759766,0.95,2
0.0,0.0,0.485,0.09262394905090332,0.975,2
0.0,0.0,0.47,0.1748676300048828,0.95,2
0.0,0.0,0.53,0.23045587539672852,0.92,2
0.0,0.0,0.55,0.1246798038482666,0.905,2
0.0,0.0,0.5,0.12121820449829102,0.935,2
0.0,0.0,0.54,0.09606075286865234,0.92,2
0.0,0.0,0.475,0.09431219100952148,0.955,2
0.0,0.0,0.55,0.2404463291168213,0.945,2
0.0,0.0,0.515,0.12043356895446777,0.965,2
0.0,0.0,0.52,0.09761691093444824,0.945,2
0.0,0.0,0.505,0.22599506378173828,0.95,2
0.0,0.0,0.47,0.23834776878356934,0.945,2
0.0,0.0,0.475,0.1779770851135254,0.95,2
0.0,0.0,0.495,0.2247166633605957,0.95,2
0.0,0.0,0.545,0.23505806922912598,0.93,2
0.0,0.0,0.485,0.23901700973510742,0.945,2
0.0,0.0,0.555,0.23737311363220215,0.92,2
0.0,0.0,0.515,0.0966176986694336,0.92,2
0.0,0.0,0.555,0.0961611270904541,0.91,2
0.0,0.0,0.555,0.093536376953125,0.965,2
0.0,0.0,0.475,0.1634817123413086,0.96,2
0.0,0.0,0.455,0.12596416473388672,0.945,2
0.0,0.0,0.49,0.09600186347961426,0.94,2
0.0,0.0,0.5,0.22171592712402344,0.945,2
0.0,0.0,0.475,0.12325882911682129,0.935,2
0.0,0.0,0.54,0.12469983100891113,0.95,2
0.0,0.0,0.525,0.0956730842590332,0.955,2
0.0,0.0,0.49,0.09274959564208984,0.93,2
0.0,0.0,0.505,0.17013072967529297,0.93,2
0.0,0.0,0.5,0.22240972518920898,0.96,2
0.0,0.0,0.49,0.18773365020751953,0.95,2
0.0,0.0,0.505,0.23014450073242188,0.94,2
0.0,0.0,0.43,0.22943782806396484,0.955,2
0.0,0.0,0.49,0.09714794158935547,0.95,2
0.0,0.0,0.56,0.13692140579223633,0.935,2
0.0,0.0,0.49,0.24288702011108398,0.955,2
0.0,0.0,0.45,0.24237918853759766,0.96,2
0.0,0.0,0.5,0.09621500968933105,0.945,2
0.0,0.0,0.53,0.1280198097229004,0.925,2
0.0,0.0,0.56,0.0999143123626709,0.925,2
0.0,0.0,0.49,0.2285325527191162,0.945,2
0.0,0.0,0.48,0.12087893486022949,0.965,2
0.0,0.0,0.52,0.09478163719177246,0.955,2
0.0,0.0,0.505,0.09672999382019043,0.97,2
0.0,0.0,0.525,0.09373760223388672,0.96,2
0.0,0.0,0.57,0.09287762641906738,0.955,2
0.0,0.0,0.495,0.13502955436706543,0.945,2
0.0,0.0,0.51,0.21320366859436035,0.96,2
0.0,0.0,0.465,0.2360091209411621,0.96,2
0.0,0.0,0.525,0.18312501907348633,0.96,2
0.0,0.0,0.475,0.12104535102844238,0.93,2
0.0,0.0,0.525,0.22929978370666504,0.925,2
0.0,0.0,0.525,0.09818005561828613,0.975,2
0.0,0.0,0.5,0.20201396942138672,0.97,2
0.0,0.0,0.46,0.21976661682128906,0.94,2
0.0,0.0,0.485,0.22494864463806152,0.96,2
0.0,0.0,0.485,0.1220545768737793,0.92,2
0.0,0.0,0.47,0.11853981018066406,0.94,2
