drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.49,0.04911971092224121,1.0,1
0.0,0.0,0.555,0.059816598892211914,1.0,1
0.0,0.0,0.48,0.049851417541503906,1.0,1
0.0,0.0,0.54,0.06242060661315918,1.0,1
1.0,1.0,0.49,0.32268357276916504,1.0,1
0.0,0.0,0.495,0.050492286682128906,1.0,1
0.0,0.0,0.515,0.04957771301269531,1.0,1
1.0,1.0,0.57,0.303088903427124,0.995,1
0.0,0.0,0.48,0.048577308654785156,1.0,1
0.0,0.0,0.5,0.048889875411987305,1.0,1
0.0,0.0,0.505,0.04948091506958008,1.0,1
0.0,0.0,0.565,0.05954122543334961,0.995,1
0.0,0.0,0.48,0.07199978828430176,1.0,1
0.0,0.0,0.5,0.06171751022338867,1.0,1
0.0,0.0,0.545,0.05262470245361328,1.0,1
0.0,0.0,0.53,0.07030129432678223,0.995,1
0.0,0.0,0.47,0.09554934501647949,1.0,1
0.0,0.0,0.485,0.06258273124694824,0.995,1
0.0,0.0,0.565,0.060376644134521484,1.0,1
0.0,0.0,0.505,0.05955314636230469,1.0,1
0.0,0.0,0.45,0.05968356132507324,1.0,1
0.0,0.0,0.565,0.059828758239746094,0.995,1
0.0,0.0,0.42,0.049172163009643555,1.0,1
0.0,0.0,0.48,0.0504612922668457,1.0,1
0.0,0.0,0.475,0.05030560493469238,0.995,1
0.0,0.0,0.555,0.048917531967163086,1.0,1
0.0,0.0,0.51,0.04974365234375,0.99,1
0.0,0.0,0.555,0.04753518104553223,0.995,1
0.0,0.0,0.45,0.048562049865722656,1.0,1
0.0,0.0,0.585,0.048951148986816406,0.99,1
0.0,0.0,0.55,0.051421403884887695,1.0,1
0.0,0.0,0.545,0.06554198265075684,0.99,1
0.0,0.0,0.57,0.053751230239868164,1.0,1
0.0,0.0,0.49,0.05244636535644531,1.0,1
0.0,0.0,0.53,0.061163902282714844,1.0,1
0.0,0.0,0.495,0.06820988655090332,0.99,1
0.0,0.0,0.52,0.19775629043579102,1.0,1
0.0,0.0,0.46,0.1233518123626709,0.99,1
0.0,0.0,0.505,0.10760855674743652,1.0,1
0.0,0.0,0.53,0.10119509696960449,1.0,1
0.0,0.0,0.46,0.1013333797454834,1.0,1
0.0,0.0,0.45,0.10184907913208008,1.0,1
0.0,0.0,0.53,0.10029864311218262,0.995,1
0.0,0.0,0.485,0.09903287887573242,1.0,1
0.0,0.0,0.545,0.09993362426757812,0.995,1
0.0,0.0,0.535,0.10000228881835938,1.0,1
0.0,0.0,0.48,0.10036754608154297,1.0,1
0.0,0.0,0.49,0.1065366268157959,1.0,1
1.0,1.0,0.455,0.5366144180297852,0.995,1
0.0,0.0,0.52,0.06379961967468262,1.0,1
0.0,0.0,0.47,0.06618356704711914,1.0,1
0.0,0.0,0.545,0.06450438499450684,1.0,1
0.0,0.0,0.45,0.06567740440368652,1.0,1
0.0,0.0,0.48,0.06330299377441406,1.0,1
0.0,0.0,0.475,0.06225419044494629,1.0,1
0.0,0.0,0.54,0.09122991561889648,0.995,1
0.0,0.0,0.44,0.06435465812683105,0.995,1
