drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.48,0.05550360679626465,0.995,1
0.0,0.0,0.535,0.05765342712402344,0.985,1
0.0,0.0,0.445,0.05245351791381836,0.995,1
0.0,0.0,0.54,0.0527338981628418,1.0,1
0.0,0.0,0.51,0.05197000503540039,1.0,1
0.0,0.0,0.505,0.05195903778076172,1.0,1
0.0,0.0,0.55,0.0513763427734375,1.0,1
0.0,0.0,0.455,0.05209231376647949,0.995,1
0.0,0.0,0.545,0.04246878623962402,1.0,1
0.0,0.0,0.5,0.051262855529785156,1.0,1
0.0,0.0,0.5,0.05335664749145508,1.0,1
0.0,0.0,0.535,0.05353212356567383,1.0,1
0.0,0.0,0.485,0.05278420448303223,1.0,1
0.0,0.0,0.54,0.05317330360412598,0.995,1
0.0,0.0,0.48,0.05299735069274902,1.0,1
0.0,0.0,0.465,0.06923055648803711,1.0,1
0.0,0.0,0.505,0.06455874443054199,1.0,1
0.0,0.0,0.52,0.05553865432739258,1.0,1
0.0,0.0,0.51,0.054192543029785156,0.995,1
0.0,0.0,0.565,0.05157351493835449,1.0,1
0.0,0.0,0.505,0.05773115158081055,0.99,1
0.0,0.0,0.49,0.05856966972351074,1.0,1
0.0,0.0,0.455,0.053220272064208984,1.0,1
0.0,0.0,0.505,0.053392648696899414,1.0,1
0.0,0.0,0.56,0.05200314521789551,1.0,1
0.0,0.0,0.52,0.05310702323913574,0.995,1
0.0,0.0,0.55,0.054781198501586914,0.995,1
0.0,0.0,0.43,0.05430316925048828,1.0,1
0.0,0.0,0.47,0.0530397891998291,0.995,1
0.0,0.0,0.545,0.05361032485961914,0.995,1
0.0,0.0,0.505,0.05513882637023926,1.0,1
0.0,0.0,0.49,0.05467510223388672,1.0,1
0.0,0.0,0.53,0.057755231857299805,1.0,1
0.0,0.0,0.505,0.053998470306396484,0.99,1
0.0,0.0,0.51,0.05683279037475586,1.0,1
0.0,0.0,0.465,0.0534214973449707,0.995,1
0.0,0.0,0.45,0.05465579032897949,0.995,1
0.0,0.0,0.47,0.04107785224914551,1.0,1
0.0,0.0,0.45,0.05095863342285156,0.995,1
0.0,0.0,0.54,0.0532231330871582,1.0,1
0.0,0.0,0.51,0.05093646049499512,1.0,1
0.0,0.0,0.47,0.053315162658691406,1.0,1
0.0,0.0,0.56,0.05285930633544922,0.995,1
0.0,0.0,0.445,0.05125761032104492,1.0,1
0.0,0.0,0.51,0.05242729187011719,1.0,1
0.0,0.0,0.515,0.056366920471191406,0.99,1
0.0,0.0,0.445,0.05511736869812012,0.995,1
0.0,0.0,0.45,0.05718994140625,0.995,1
0.0,0.0,0.45,0.05768394470214844,1.0,1
0.0,0.0,0.465,0.05298638343811035,0.995,1
0.0,0.0,0.545,0.052727460861206055,1.0,1
0.0,0.0,0.48,0.05278801918029785,1.0,1
