drifs_detected,false_alarms,class_distribution,time (s),classification,context
1.0,1.0,0.26903386852548583,0.6850619316101074,1.0,1
0.0,0.0,0.3053976729637504,0.07161402702331543,0.965,1
1.0,1.0,0.14704008053751638,0.36113953590393066,0.985,1
1.0,1.0,0.7783344625911824,0.4899907112121582,0.96,1
1.0,1.0,0.5593090974627445,0.5299553871154785,0.99,1
1.0,1.0,0.17818032338695322,0.480557918548584,1.0,1
1.0,1.0,0.8916674877517119,0.4385344982147217,0.955,1
1.0,1.0,0.5534899638882409,0.5487782955169678,0.955,1
1.0,1.0,0.8588789635239096,0.5705034732818604,0.995,1
0.0,0.0,0.7878824476160055,0.09776663780212402,0.975,1
1.0,1.0,0.39142922781494227,0.4626297950744629,0.935,1
1.0,1.0,0.8234994494437748,0.48590683937072754,0.98,1
1.0,1.0,0.6186363463157104,0.6719954013824463,0.98,1
0.0,0.0,0.5999484826173884,0.17464447021484375,1.0,1
1.0,1.0,0.7487037436433861,0.38451433181762695,1.0,1
1.0,1.0,0.13458757528545362,0.6428380012512207,0.985,1
1.0,1.0,0.4760711478719136,0.5441563129425049,0.995,1
1.0,1.0,0.6043430639572283,0.5319874286651611,0.99,1
1.0,1.0,0.3637612972603056,0.30551695823669434,1.0,1
0.0,0.0,0.34035766749648455,0.0570988655090332,1.0,1
1.0,1.0,0.8171810984362329,0.34174108505249023,0.995,1
1.0,1.0,0.38902353802981304,0.5045514106750488,0.955,1
1.0,1.0,0.2532970742830637,0.4776158332824707,0.985,1
1.0,1.0,0.4970309083877289,0.39539170265197754,1.0,1
0.0,0.0,0.4302207350486641,0.1172637939453125,1.0,1
0.0,0.0,0.5124928841258137,0.05934476852416992,1.0,1
0.0,0.0,0.47743653238676975,0.05980181694030762,1.0,1
1.0,1.0,0.2846282245163455,0.570476770401001,1.0,1
0.0,0.0,0.29963899535976746,0.17750048637390137,1.0,1
1.0,1.0,0.8287857044095241,0.49357008934020996,0.995,1
1.0,1.0,0.23981800111282903,0.4522387981414795,0.985,1
1.0,1.0,0.5783494420948139,0.6890723705291748,0.96,1
1.0,1.0,0.8973705815188563,0.3115103244781494,1.0,1
1.0,1.0,0.44958179924181974,0.5335052013397217,0.975,1
1.0,1.0,0.8509687966988838,0.6687438488006592,0.995,1
0.0,0.0,0.8858275823217292,0.10840916633605957,0.99,1
1.0,1.0,0.45388644596827,0.3589794635772705,0.965,1
1.0,1.0,0.21012332969634973,0.5253498554229736,1.0,1
0.0,0.0,0.3277860242207591,0.11694955825805664,1.0,1
1.0,1.0,0.6110725329583074,0.5277040004730225,0.995,1
1.0,1.0,0.1755725039699777,0.47065019607543945,0.99,1
1.0,1.0,0.8147816786899885,0.4004337787628174,0.975,1
1.0,1.0,0.1332200087528035,0.6567525863647461,0.995,1
0.0,0.0,0.14729825750560965,0.1704118251800537,0.995,1
0.0,0.0,0.1592528438068166,0.05640268325805664,0.99,1
1.0,1.0,0.7230163253705469,0.36617350578308105,0.94,1
0.0,0.0,0.7854526115504413,0.17340874671936035,0.995,1
0.0,0.0,0.805874047404325,0.08179378509521484,1.0,1
1.0,1.0,0.1344326972275679,0.5107738971710205,1.0,1
1.0,1.0,0.5576978197668269,0.620018720626831,0.96,1
0.0,0.0,0.6282010470153022,0.08325815200805664,0.995,1
1.0,1.0,0.8722475785656754,0.6191096305847168,1.0,1
1.0,1.0,0.7160502538561898,0.47182321548461914,0.975,1
1.0,1.0,0.20847372409118592,0.5467028617858887,0.985,1
1.0,1.0,0.4033728755767778,0.5201785564422607,0.99,1
0.0,0.0,0.36086592880573676,0.16511893272399902,0.995,1
1.0,1.0,0.7959048491615651,0.5081436634063721,0.99,1
0.0,0.0,0.7763104384051404,0.17563271522521973,0.995,1
0.0,0.0,0.8017872121079691,0.09611010551452637,1.0,1
0.0,0.0,0.8161009643512698,0.0581357479095459,1.0,1
1.0,1.0,0.593663820677207,0.4300553798675537,0.99,1
1.0,1.0,0.43909941697524446,0.5423555374145508,0.995,1
0.0,0.0,0.4226876703747613,0.14289331436157227,0.99,1
1.0,1.0,0.8963041170879152,0.5801270008087158,0.995,1
1.0,1.0,0.45879556386085585,0.6264503002166748,0.975,1
1.0,1.0,0.14908863671172012,0.5825991630554199,1.0,1
0.0,0.0,0.2083678101339742,0.10754179954528809,1.0,1
0.0,0.0,0.16175257219155725,0.09308815002441406,0.995,1
1.0,1.0,0.33290670506735487,0.6477177143096924,0.98,1
1.0,1.0,0.7942620489561929,0.585768461227417,0.995,1
1.0,1.0,0.27898909428336927,0.3862299919128418,0.995,1
1.0,1.0,0.6727867497654536,0.4197418689727783,0.995,1
1.0,1.0,0.34860956232112106,0.571192741394043,1.0,1
1.0,1.0,0.8718914980695854,0.47321271896362305,0.99,1
1.0,1.0,0.23698838544776246,0.5175735950469971,0.965,1
0.0,0.0,0.17254236795257072,0.062320709228515625,0.99,1
0.0,0.0,0.37017685867684014,0.05598759651184082,0.985,1
1.0,1.0,0.7318857460028975,0.3153998851776123,0.99,1
1.0,1.0,0.2786955056316799,0.3312187194824219,0.985,1
0.0,0.0,0.4396582380022417,0.05625104904174805,0.98,1
1.0,1.0,0.15194664581381734,0.34965968132019043,1.0,1
1.0,1.0,0.8993566318414122,0.47784996032714844,0.925,1
1.0,1.0,0.6132151143585332,0.6047646999359131,0.97,1
0.0,0.0,0.6508298948880256,0.170548677444458,1.0,1
0.0,0.0,0.7077294424335934,0.056487321853637695,0.995,1
1.0,1.0,0.36822617447969597,0.5923774242401123,0.995,1
0.0,0.0,0.5234242961857384,0.18072295188903809,0.995,1
1.0,1.0,0.8861784661312175,0.3959684371948242,0.985,1
1.0,1.0,0.3230400814878305,0.684727668762207,0.94,1
1.0,1.0,0.6227732399808813,0.501924991607666,0.99,1
1.0,1.0,0.3574922758307557,0.5132970809936523,1.0,1
1.0,1.0,0.6234706314612567,0.6234002113342285,0.995,1
1.0,1.0,0.15699258992231302,0.4789857864379883,0.99,1
1.0,1.0,0.5864770609551164,0.5568277835845947,0.98,1
1.0,1.0,0.2189882415542631,0.6223475933074951,1.0,1
0.0,0.0,0.33407866422490473,0.16947531700134277,0.99,1
1.0,1.0,0.5258739989543032,0.5134003162384033,0.98,1
1.0,1.0,0.14953832578422288,0.3614187240600586,1.0,1
1.0,1.0,0.6250967343226398,0.6009185314178467,0.985,1
0.0,0.0,0.8223440832570992,0.1763172149658203,1.0,1
1.0,0.0,0.45033708397461814,0.46847963333129883,0.78,2
