drifs_detected,false_alarms,class_distribution,time (s),classification,context
0.0,0.0,0.465,0.18023276329040527,1.0,1
0.0,0.0,0.51,0.12991881370544434,1.0,1
0.0,0.0,0.49,0.05547523498535156,1.0,1
0.0,0.0,0.505,0.07642412185668945,0.99,1
0.0,0.0,0.52,0.05734825134277344,1.0,1
0.0,0.0,0.525,0.05604672431945801,0.995,1
0.0,0.0,0.45,0.0804588794708252,0.995,1
0.0,0.0,0.52,0.056966304779052734,1.0,1
0.0,0.0,0.53,0.0829155445098877,0.995,1
0.0,0.0,0.5,0.05752682685852051,0.995,1
0.0,0.0,0.52,0.057230234146118164,1.0,1
0.0,0.0,0.495,0.06014537811279297,1.0,1
0.0,0.0,0.475,0.05543017387390137,1.0,1
0.0,0.0,0.475,0.05530524253845215,0.995,1
0.0,0.0,0.46,0.05547738075256348,1.0,1
0.0,0.0,0.505,0.08340930938720703,1.0,1
0.0,0.0,0.535,0.11688446998596191,1.0,1
0.0,0.0,0.47,0.059275150299072266,0.995,1
0.0,0.0,0.55,0.05637073516845703,0.995,1
0.0,0.0,0.52,0.056101322174072266,0.995,1
0.0,0.0,0.54,0.05519270896911621,0.995,1
0.0,0.0,0.525,0.05868792533874512,1.0,1
0.0,0.0,0.545,0.0561063289642334,1.0,1
0.0,0.0,0.455,0.05564379692077637,1.0,1
0.0,0.0,0.535,0.0915989875793457,1.0,1
0.0,0.0,0.565,0.05538177490234375,1.0,1
0.0,0.0,0.54,0.05620408058166504,1.0,1
0.0,0.0,0.46,0.056629180908203125,0.995,1
0.0,0.0,0.54,0.055667877197265625,1.0,1
0.0,0.0,0.545,0.056974172592163086,1.0,1
0.0,0.0,0.535,0.05998349189758301,1.0,1
0.0,0.0,0.495,0.05683565139770508,1.0,1
0.0,0.0,0.47,0.054329633712768555,1.0,1
0.0,0.0,0.51,0.05671334266662598,1.0,1
0.0,0.0,0.56,0.058388471603393555,1.0,1
0.0,0.0,0.545,0.05837297439575195,0.995,1
0.0,0.0,0.555,0.09578418731689453,1.0,1
0.0,0.0,0.545,0.059470176696777344,1.0,1
0.0,0.0,0.515,0.0556025505065918,0.995,1
0.0,0.0,0.505,0.057564496994018555,0.995,1
0.0,0.0,0.495,0.09201169013977051,0.995,1
0.0,0.0,0.515,0.0676426887512207,1.0,1
0.0,0.0,0.525,0.05845022201538086,1.0,1
0.0,0.0,0.445,0.05686831474304199,1.0,1
0.0,0.0,0.465,0.05503439903259277,0.995,1
0.0,0.0,0.485,0.08785462379455566,1.0,1
0.0,0.0,0.53,0.060685157775878906,1.0,1
0.0,0.0,0.53,0.08485627174377441,1.0,1
0.0,0.0,0.545,0.059777021408081055,0.995,1
0.0,0.0,0.465,0.05869746208190918,1.0,1
0.0,0.0,0.5,0.055258989334106445,0.995,1
0.0,0.0,0.44,0.0780479907989502,1.0,1
0.0,0.0,0.48,0.06757307052612305,1.0,1
0.0,0.0,0.495,0.05844712257385254,1.0,1
0.0,0.0,0.455,0.055556297302246094,0.995,1
0.0,0.0,0.58,0.05640816688537598,1.0,1
0.0,0.0,0.455,0.05685019493103027,1.0,1
0.0,0.0,0.53,0.05582451820373535,1.0,1
0.0,0.0,0.49,0.054028987884521484,1.0,1
0.0,0.0,0.455,0.07719016075134277,1.0,1
0.0,0.0,0.475,0.057886362075805664,1.0,1
0.0,0.0,0.47,0.05598878860473633,0.995,1
0.0,0.0,0.53,0.05720829963684082,0.995,1
0.0,0.0,0.54,0.05659604072570801,0.995,1
0.0,0.0,0.52,0.05778622627258301,0.995,1
0.0,0.0,0.54,0.08168482780456543,1.0,1
0.0,0.0,0.54,0.05719184875488281,0.995,1
0.0,0.0,0.49,0.05468297004699707,1.0,1
0.0,0.0,0.455,0.05462789535522461,1.0,1
0.0,0.0,0.48,0.05651211738586426,1.0,1
0.0,0.0,0.52,0.05837059020996094,1.0,1
0.0,0.0,0.54,0.09340310096740723,0.99,1
0.0,0.0,0.505,0.0937197208404541,1.0,1
0.0,0.0,0.535,0.05714583396911621,0.995,1
0.0,0.0,0.485,0.05618023872375488,1.0,1
0.0,0.0,0.495,0.09370541572570801,1.0,1
0.0,0.0,0.49,0.05809783935546875,1.0,1
0.0,0.0,0.495,0.05758833885192871,1.0,1
0.0,0.0,0.475,0.0859065055847168,1.0,1
0.0,0.0,0.545,0.05657696723937988,0.995,1
0.0,0.0,0.495,0.06985974311828613,1.0,1
0.0,0.0,0.52,0.09059906005859375,1.0,1
0.0,0.0,0.485,0.061023712158203125,1.0,1
0.0,0.0,0.52,0.08040237426757812,0.995,1
0.0,0.0,0.5,0.09166431427001953,1.0,1
0.0,0.0,0.51,0.05730724334716797,0.995,1
0.0,0.0,0.565,0.08236575126647949,1.0,1
0.0,0.0,0.475,0.05736684799194336,1.0,1
0.0,0.0,0.505,0.05785346031188965,1.0,1
0.0,0.0,0.505,0.05856585502624512,1.0,1
0.0,0.0,0.48,0.05772733688354492,1.0,1
0.0,0.0,0.5,0.09076595306396484,1.0,1
0.0,0.0,0.52,0.11498880386352539,0.995,1
0.0,0.0,0.52,0.09082770347595215,0.99,1
0.0,0.0,0.495,0.05718183517456055,1.0,1
0.0,0.0,0.515,0.07987308502197266,1.0,1
0.0,0.0,0.525,0.05702328681945801,1.0,1
0.0,0.0,0.535,0.056101083755493164,0.99,1
0.0,0.0,0.495,0.06025576591491699,1.0,1
0.0,0.0,0.49,0.05687999725341797,0.99,1
1.0,0.0,0.46,0.45207977294921875,0.69,2
0.0,0.0,0.465,0.17324233055114746,0.91,2
0.0,0.0,0.47,0.05810260772705078,0.95,2
