drifs_detected,false_alarms,class_distribution,time (s),classification,context
1.0,1.0,0.815465149290442,0.4303724765777588,0.8066666666666666,1
1.0,1.0,0.2854205650442,0.42767834663391113,0.6366666666666667,1
1.0,1.0,0.8123650849522286,0.3514988422393799,0.7066666666666667,1
1.0,1.0,0.5000163115000504,0.34171605110168457,0.7566666666666667,1
0.0,0.0,0.3889352804012708,0.18416666984558105,0.7566666666666667,1
0.0,0.0,0.46591897715979436,0.08943796157836914,0.79,1
1.0,1.0,0.8457283084002203,0.41518163681030273,0.84,1
1.0,1.0,0.20147034228228522,0.45552563667297363,0.56,1
1.0,1.0,0.6708303799640442,0.4719247817993164,0.63,1
1.0,1.0,0.11898393820439523,0.488588809967041,0.7033333333333334,1
1.0,1.0,0.4691231031511962,0.4544947147369385,0.6233333333333333,1
0.0,0.0,0.6714421169630471,0.15104961395263672,0.8166666666666667,1
0.0,0.0,0.7746703394616303,0.09249377250671387,0.7966666666666666,1
0.0,0.0,0.4521637829794979,0.06145167350769043,0.7766666666666666,1
0.0,0.0,0.41015803605744117,0.05616593360900879,0.8066666666666666,1
1.0,1.0,0.17079807638799682,0.47420263290405273,0.82,1
1.0,1.0,0.47178410835852946,0.45681142807006836,0.6966666666666667,1
0.0,0.0,0.8802923975857966,0.057869672775268555,0.7933333333333333,1
1.0,1.0,0.84721174661959,0.48629307746887207,0.77,1
1.0,1.0,0.46859508098561076,0.4378788471221924,0.6933333333333334,1
0.0,0.0,0.4754893155149321,0.06826233863830566,0.8433333333333334,1
0.0,0.0,0.6143547636873661,0.05733346939086914,0.84,1
0.0,0.0,0.2604640788069067,0.05727791786193848,0.8366666666666667,1
1.0,1.0,0.7267533632558176,0.41739511489868164,0.7866666666666666,1
1.0,1.0,0.14839578202912718,0.445084810256958,0.6233333333333333,1
0.0,0.0,0.4100123205684114,0.17643284797668457,0.68,1
1.0,1.0,0.8137203846752982,0.4789597988128662,0.38333333333333336,1
1.0,1.0,0.24842583875637703,0.4464106559753418,0.5766666666666667,1
0.0,0.0,0.14672303744745607,0.08690237998962402,0.8933333333333333,1
0.0,0.0,0.5259395051098491,0.08756089210510254,0.72,1
1.0,1.0,0.697030291076261,0.4410109519958496,0.71,1
1.0,1.0,0.29990195987624213,0.4921607971191406,0.68,1
0.0,0.0,0.24134043113619363,0.08468246459960938,0.8566666666666667,1
0.0,0.0,0.14515751801332544,0.05625033378601074,0.9066666666666666,1
1.0,1.0,0.7693417351587419,0.48091888427734375,0.72,1
0.0,0.0,0.6237109447316701,0.17559814453125,0.7966666666666666,1
1.0,1.0,0.43285335833127203,0.43086838722229004,0.7233333333333334,1
1.0,1.0,0.779874867289698,0.5630624294281006,0.8,1
0.0,0.0,0.7896467329966044,0.09415936470031738,0.8666666666666667,1
0.0,0.0,0.8272758583299664,0.17745304107666016,0.8933333333333333,1
1.0,1.0,0.34789811716608776,0.4086728096008301,0.6333333333333333,1
0.0,0.0,0.5148978800831954,0.11729907989501953,0.7833333333333333,1
0.0,0.0,0.18645061742717206,0.09068822860717773,0.8733333333333333,1
0.0,0.0,0.4438737526713351,0.13459539413452148,0.8366666666666667,1
0.0,0.0,0.46593563436488605,0.09134888648986816,0.7766666666666666,1
0.0,0.0,0.2886050139496875,0.0886225700378418,0.8333333333333334,1
1.0,1.0,0.6881983835604902,0.38470005989074707,0.7233333333333334,1
0.0,0.0,0.4660077195590373,0.13646197319030762,0.77,1
0.0,0.0,0.8085777277756793,0.07127094268798828,0.89,1
0.0,0.0,0.816417078945402,0.058220624923706055,0.89,1
0.0,0.0,0.7163465787818031,0.05742645263671875,0.8633333333333333,1
0.0,0.0,0.7255534540762982,0.05710196495056152,0.88,1
0.0,0.0,0.5671968993780059,0.05664849281311035,0.8166666666666667,1
0.0,0.0,0.7390506755442964,0.057192325592041016,0.87,1
1.0,1.0,0.31589087495770596,0.36060428619384766,0.7466666666666667,1
0.0,0.0,0.29468737317715343,0.1833505630493164,0.8466666666666667,1
1.0,1.0,0.6882919694090225,0.5200886726379395,0.7366666666666667,1
0.0,0.0,0.5736342605678145,0.16244149208068848,0.84,1
1.0,1.0,0.3117437206611513,0.46639013290405273,0.75,1
1.0,1.0,0.7581126556226246,0.46665191650390625,0.7266666666666667,1
0.0,0.0,0.7303239741590528,0.1697075366973877,0.8766666666666667,1
0.0,0.0,0.6528450577748112,0.09025835990905762,0.8733333333333333,1
1.0,1.0,0.33113609914756414,0.3523890972137451,0.74,1
1.0,1.0,0.10699798076201372,0.37617015838623047,0.9266666666666666,1
0.0,0.0,0.2811270094432806,0.1662616729736328,0.78,1
1.0,1.0,0.35424706905063785,0.41849303245544434,0.76,1
0.0,0.0,0.4898250759785562,0.17357826232910156,0.8233333333333334,1
0.0,0.0,0.27836007819324127,0.07320022583007812,0.8733333333333333,1
1.0,1.0,0.789680180181135,0.4933907985687256,0.71,1
1.0,1.0,0.20845850937112542,0.46111273765563965,0.5833333333333334,1
0.0,0.0,0.18277129694265326,0.18019962310791016,0.8866666666666667,1
0.0,0.0,0.5191442148975678,0.08853602409362793,0.7066666666666667,1
0.0,0.0,0.4237690624086313,0.08952021598815918,0.8066666666666666,1
0.0,0.0,0.35759852363360156,0.0608367919921875,0.82,1
0.0,0.0,0.10463971003413775,0.05646371841430664,0.8866666666666667,1
1.0,1.0,0.609010042489525,0.32097315788269043,0.6733333333333333,1
1.0,1.0,0.26987335411682,0.5244483947753906,0.77,1
0.0,0.0,0.31275527138043047,0.17507600784301758,0.8266666666666667,1
0.0,0.0,0.19913194842751025,0.09206318855285645,0.8866666666666667,1
1.0,1.0,0.7862124770958253,0.5439479351043701,0.6766666666666666,1
1.0,1.0,0.24889890267622017,0.40578556060791016,0.6166666666666667,1
0.0,0.0,0.3619492217034632,0.05588054656982422,0.8533333333333334,1
0.0,0.0,0.13235365305001656,0.05601239204406738,0.8533333333333334,1
1.0,1.0,0.6045121917915012,0.31609654426574707,0.7166666666666667,1
1.0,1.0,0.24586565946978445,0.5100300312042236,0.74,1
0.0,0.0,0.21259260932768187,0.17763948440551758,0.88,1
1.0,1.0,0.6936094421510646,0.5375661849975586,0.6733333333333333,1
1.0,1.0,0.3165868139941873,0.4587407112121582,0.8233333333333334,1
0.0,0.0,0.14720885124190453,0.12991070747375488,0.8433333333333334,1
1.0,1.0,0.785837774259645,0.395737886428833,0.7333333333333333,1
1.0,1.0,0.2294893608788554,0.6013238430023193,0.6233333333333333,1
0.0,0.0,0.5091019008737198,0.1835036277770996,0.7333333333333333,1
1.0,1.0,0.8425789802095041,0.40681886672973633,0.6033333333333334,1
1.0,1.0,0.14668750608771186,0.46196889877319336,0.45,1
0.0,0.0,0.40112655752082527,0.17662429809570312,0.7166666666666667,1
0.0,0.0,0.22175782698910285,0.16511940956115723,0.8233333333333334,1
1.0,1.0,0.6614641503783386,0.3610372543334961,0.52,1
1.0,1.0,0.8879686240297368,0.6907463073730469,0.9033333333333333,1
1.0,1.0,0.24062484265339268,0.4903090000152588,0.4266666666666667,1
1.0,1.0,0.6188008094494323,0.4722275733947754,0.6533333333333333,1
1.0,0.0,0.16518039410711627,0.32343554496765137,0.69,2
1.0,1.0,0.8962256864300066,0.48613977432250977,0.3233333333333333,2
0.0,0.0,0.6704700177981869,0.08762717247009277,0.7066666666666667,2
1.0,1.0,0.624256364391858,0.34201574325561523,0.6533333333333333,2
0.0,0.0,0.5865456461941674,0.17227792739868164,0.7833333333333333,2
0.0,0.0,0.39998995791409175,0.07409954071044922,0.6833333333333333,2
0.0,0.0,0.4752773920214374,0.07361507415771484,0.71,2
1.0,1.0,0.28239055013983105,0.32839083671569824,0.6366666666666667,2
0.0,0.0,0.24327247488465842,0.1310274600982666,0.78,2
0.0,0.0,0.13146832067224168,0.09136605262756348,0.8466666666666667,2
1.0,1.0,0.7952519962180433,0.392728328704834,0.5333333333333333,2
0.0,0.0,0.5809310753091893,0.0923001766204834,0.68,2
0.0,0.0,0.8107549118246231,0.05571460723876953,0.8566666666666667,2
1.0,1.0,0.23063785336150322,0.3559684753417969,0.5633333333333334,2
0.0,0.0,0.3161234904858239,0.1049952507019043,0.7166666666666667,2
1.0,1.0,0.7087785047032936,0.37637972831726074,0.46,2
1.0,1.0,0.24976812896915568,0.4749608039855957,0.62,2
0.0,0.0,0.2931918052635244,0.14902567863464355,0.77,2
0.0,0.0,0.16673456463412561,0.08666563034057617,0.8533333333333334,2
0.0,0.0,0.2699338677594323,0.08928823471069336,0.7866666666666666,2
0.0,0.0,0.273096651748556,0.08658647537231445,0.7933333333333333,2
1.0,1.0,0.7282477837577586,0.3525969982147217,0.57,2
0.0,0.0,0.5994281007859723,0.13820934295654297,0.7233333333333334,2
0.0,0.0,0.5532952241269761,0.08809208869934082,0.7133333333333334,2
1.0,1.0,0.3067203436529162,0.45685458183288574,0.6133333333333333,2
0.0,0.0,0.6565015873339822,0.13124585151672363,0.68,2
